time,avg_grain_vol,dt,grain_tracker
1,624970.91684729,1,10
3,624883.3360908,2,10
7,624758.72328316,4,10
15,624581.13628332,8,10
31,624163.35106018,16,10
63,624065.57900206,32,10
127,624467.17309107,64,10
255,623985.05349101,128,10
383,623959.77086288,128,10
639,623599.39676212,256,10
895,623550.5744988,256,10
1407,623546.11131285,512,10
1663,623566.05169027,256,10
2175,623581.56794426,512,10
2431,623579.4640989,256,10
2943,623587.88417402,512,10
3455,623588.4562546,512,10
3967,623584.84763882,512,10
4479,623587.0192832,512,10
4991,623589.28949719,512,10
5503,623589.50838945,512,10
6015,623582.46278705,512,10
6527,623587.06210445,512,10
6783,623584.20833433,256,10
7295,623582.4301862,512,10
7551,623581.12834781,256,10
8063,623580.77073579,512,10
8319,623581.12308515,256,10
8831,623580.74965802,512,10
9343,623586.51329562,512,10
9855,623579.9699897,512,10
10367,623587.14427017,512,10
10879,623578.27139364,512,10
11391,623581.01439451,512,10
11903,623578.87728102,512,10
12415,623574.15607377,512,10
12671,623564.75901066,256,10
12927,623574.39787453,256,10
13183,623571.91845827,256,10
13439,623570.76183214,256,10
13695,623562.30362869,256,10
13951,623566.14556329,256,10
14207,623560.48342095,256,10
14463,623564.68827855,256,10
14719,623565.5692423,256,10
14975,623562.60777502,256,10
15231,623560.38614322,256,10
15487,623561.03357817,256,10
15743,623563.08574127,256,10
15999,623560.41913715,256,10
16255,623568.12573944,256,10
16511,623571.60169772,256,10
16767,623566.38750035,256,10
17023,623572.70636539,256,10
17279,623566.77037258,256,10
17535,623570.68164988,256,10
17791,623568.94563342,256,10
18047,623576.54808894,256,10
18303,623577.19364665,256,10
18559,623576.44716537,256,10
18815,623577.66626682,256,10
19071,623574.55843492,256,10
19327,623577.14246559,256,10
19583,623579.50379465,256,10
