var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,365166.56573049,404342.16624356,1,681.8683977889,708.24279965497,1,0,0.05,4,0,0,10
0.2,0.4,0,404342.16624356,443517.76675664,0,708.24279965497,734.61720152105,0,0.05,0.1,0,0,0,0
0.4,0.6,0,443517.76675664,482693.36726971,1,734.61720152105,760.99160338712,0,0.1,0.15,0,0,0,0
0.6,0.8,0,482693.36726971,521868.96778278,3,760.99160338712,787.3660052532,1,0.15,0.2,0,0,0,0
0.8,1,2,521868.96778278,561044.56829585,2,787.3660052532,813.74040711928,3,0.2,0.25,0,0,0,0
1,1.2,0,561044.56829585,600220.16880892,0,813.74040711928,840.11480898535,1,0.25,0.3,0,0,0,0
1.2,1.4,0,600220.16880892,639395.76932199,0,840.11480898535,866.48921085143,1,0.3,0.35,0,0,0,0
1.4,1.6,0,639395.76932199,678571.36983506,0,866.48921085143,892.8636127175,0,0.35,0.4,0,0,0,0
1.6,1.8,0,678571.36983506,717746.97034813,0,892.8636127175,919.23801458358,0,0.4,0.45,0,0,0,0
1.8,2,3,717746.97034813,756922.5708612,0,919.23801458358,945.61241644966,0,0.45,0.5,0,0,0,0
2,2.2,0,756922.5708612,796098.17137427,1,945.61241644966,971.98681831573,0,0.5,0.55,0,0,0,0
2.2,2.4,0,796098.17137427,835273.77188734,0,971.98681831573,998.36122018181,1,0.55,0.6,0,0,0,0
2.4,2.6,0,835273.77188734,874449.37240041,0,998.36122018181,1024.7356220479,0,0.6,0.65,0,0,0,0
2.6,2.8,0,874449.37240041,913624.97291349,1,1024.7356220479,1051.110023914,0,0.65,0.7,0,0,0,0
2.8,3,2,913624.97291349,952800.57342656,0,1051.110023914,1077.48442578,1,0.7,0.75,0,0,0,0
3,3.2,0,952800.57342656,991976.17393963,0,1077.48442578,1103.8588276461,0,0.75,0.8,0,0,0,0
3.2,3.4,0,991976.17393963,1031151.7744527,0,1103.8588276461,1130.2332295122,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1031151.7744527,1070327.3749658,0,1130.2332295122,1156.6076313783,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1070327.3749658,1109502.9754788,0,1156.6076313783,1182.9820332443,0,0.9,0.95,0,0,0,0
3.8,4,1,1109502.9754788,1148678.5759919,1,1182.9820332443,1209.3564351104,1,0.95,1,6,0,0,0
