time,avg_grain_vol,dt,grain_tracker
1,624917.20502019,1,10
2,624905.88570629,1,10
4,624834.09213937,2,10
8,624687.15045155,4,10
16,624468.34576989,8,10
24,624266.50299426,8,10
32,624082.61851342,8,10
40,623904.96871749,8,10
56,624133.13111005,16,10
72,624041.97363107,16,10
88,624121.44197169,16,10
104,624522.8201728,16,10
120,624453.60045587,16,10
152,624288.96037866,32,10
168,624208.3103369,16,10
184,624132.60501696,16,10
200,624070.75404922,16,10
216,624000.22298705,16,10
232,623941.33828703,16,10
248,623951.0973289,16,10
264,623957.22250173,16,10
280,623911.69896009,16,10
296,623897.49907406,16,10
312,623905.65748523,16,10
328,623931.05765686,16,10
344,623952.24391672,16,10
360,623979.49337276,16,10
376,623979.71162518,16,10
392,623961.17436714,16,10
408,623943.96803131,16,10
424,623918.97515114,16,10
440,623898.47327065,16,10
456,623881.38497971,16,10
472,623857.19900899,16,10
488,623838.56023631,16,10
504,623826.95651246,16,10
520,623804.19636047,16,10
536,623796.16357162,16,10
552,623777.22677492,16,10
568,623759.02522786,16,10
584,623751.98933686,16,10
600,623741.80485044,16,10
616,623731.20609742,16,10
632,623721.64644509,16,10
648,623716.66206108,16,10
664,623702.30922041,16,10
680,623687.27475094,16,10
696,623676.11991554,16,10
704,623674.67219851,8,10
720,623672.32668741,16,10
736,623666.60181192,16,10
752,623660.69571765,16,10
768,623652.39844709,16,10
800,623641.28288556,32,10
816,623639.58558723,16,10
832,623634.16658463,16,10
848,623624.3040067,16,10
864,623623.70306767,16,10
880,623622.18840157,16,10
896,623617.59721001,16,10
912,623609.9018242,16,10
928,623605.54168787,16,10
944,623608.43790506,16,10
960,623604.91793714,16,10
976,623607.83318359,16,10
992,623604.59274283,16,10
1008,623605.33775226,16,10
1024,623601.84561001,16,10
1040,623596.69970384,16,10
1056,623598.72623926,16,10
1072,623597.82890744,16,10
1088,623594.67358864,16,10
1104,623602.96736755,16,10
1120,623600.54725094,16,10
1136,623605.09799177,16,10
1152,623603.56881313,16,10
1168,623607.87926872,16,10
1184,623609.04640162,16,10
1216,623607.71106178,32,10
1232,623603.46606033,16,10
1248,623609.26559365,16,10
1264,623611.0997639,16,10
1280,623607.8227477,16,10
1296,623609.85881078,16,10
1312,623600.31187017,16,10
1328,623608.7787477,16,10
1344,623608.52587184,16,10
1360,623603.41146564,16,10
1376,623605.13033431,16,10
1392,623604.19256863,16,10
1408,623602.75719647,16,10
1424,623607.78927188,16,10
1440,623606.28951831,16,10
1472,623605.32120461,32,10
1488,623602.33105092,16,10
1520,623608.6265411,32,10
1536,623609.49842763,16,10
1552,623608.72663344,16,10
1568,623607.6191659,16,10
1584,623608.78421799,16,10
1600,623612.22829026,16,10
1616,623614.2212285,16,10
1632,623612.21674998,16,10
1648,623608.81053714,16,10
1664,623607.5805257,16,10
1680,623605.16089709,16,10
1696,623600.10250818,16,10
1728,623598.01996396,32,10
1744,623600.36687259,16,10
1760,623600.87650438,16,10
1792,623602.08852096,32,10
1808,623596.5367983,16,10
1824,623598.6180857,16,10
1840,623595.02686035,16,10
1856,623590.41555928,16,10
1872,623595.72288589,16,10
1880,623598.78541017,8,10
1896,623590.09057115,16,10
1912,623592.62919663,16,10
1928,623596.82055675,16,10
1944,623597.02193394,16,10
1960,623593.82080614,16,10
1976,623594.17845186,16,10
1992,623595.05188243,16,10
2008,623602.5989886,16,10
2024,623595.30673792,16,10
2056,623592.36445471,32,10
2072,623596.0837566,16,10
2088,623596.07837458,16,10
2104,623597.5826122,16,10
2120,623588.12917812,16,10
2136,623592.3855351,16,10
2152,623598.3306098,16,10
2168,623592.50637158,16,10
2184,623594.70723681,16,10
2200,623596.87080267,16,10
2216,623588.71987655,16,10
2232,623592.17623788,16,10
2248,623593.64835395,16,10
2264,623591.88734868,16,10
2280,623585.99819226,16,10
2296,623585.63354638,16,10
2312,623588.44721022,16,10
2328,623590.24353857,16,10
2344,623592.06034035,16,10
2360,623592.44898198,16,10
2376,623591.68622738,16,10
2392,623587.58594216,16,10
2408,623591.69740556,16,10
2424,623590.44375027,16,10
2440,623598.13988121,16,10
2456,623599.57012717,16,10
2472,623592.81804788,16,10
2488,623593.24160274,16,10
2504,623591.40472654,16,10
2520,623594.58859131,16,10
2536,623588.75738516,16,10
2552,623591.39755454,16,10
2568,623589.83966076,16,10
2584,623589.71173577,16,10
2600,623594.52121904,16,10
2616,623591.42561988,16,10
2632,623589.41099106,16,10
