var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.2,2,325935.21593913,367777.60209593,1,644.19997357614,672.82789933542,1,0,0.05,4,0,0,10
0.2,0.4,0,367777.60209593,409619.98825273,0,672.82789933542,701.4558250947,0,0.05,0.1,0,0,0,0
0.4,0.6,0,409619.98825273,451462.37440953,0,701.4558250947,730.08375085398,0,0.1,0.15,0,0,0,0
0.6,0.8,0,451462.37440953,493304.76056633,2,730.08375085398,758.71167661326,0,0.15,0.2,0,0,0,0
0.8,1,2,493304.76056633,535147.14672313,3,758.71167661326,787.33960237254,2,0.2,0.25,0,0,0,0
1,1.2,0,535147.14672313,576989.53287992,1,787.33960237254,815.96752813183,2,0.25,0.3,0,0,0,0
1.2,1.4,0,576989.53287992,618831.91903672,0,815.96752813183,844.59545389111,2,0.3,0.35,0,0,0,0
1.4,1.6,0,618831.91903672,660674.30519352,0,844.59545389111,873.22337965039,0,0.35,0.4,0,0,0,0
1.6,1.8,0,660674.30519352,702516.69135032,0,873.22337965039,901.85130540967,0,0.4,0.45,0,0,0,0
1.8,2,3,702516.69135032,744359.07750712,0,901.85130540967,930.47923116895,0,0.45,0.5,0,0,0,0
2,2.2,0,744359.07750712,786201.46366392,0,930.47923116895,959.10715692823,0,0.5,0.55,0,0,0,0
2.2,2.4,0,786201.46366392,828043.84982071,0,959.10715692823,987.73508268751,0,0.55,0.6,0,0,0,0
2.4,2.6,0,828043.84982071,869886.23597751,2,987.73508268751,1016.3630084468,0,0.6,0.65,0,0,0,0
2.6,2.8,0,869886.23597751,911728.62213431,0,1016.3630084468,1044.9909342061,1,0.65,0.7,0,0,0,0
2.8,3,2,911728.62213431,953571.00829111,0,1044.9909342061,1073.6188599654,1,0.7,0.75,0,0,0,0
3,3.2,0,953571.00829111,995413.39444791,0,1073.6188599654,1102.2467857246,0,0.75,0.8,0,0,0,0
3.2,3.4,0,995413.39444791,1037255.7806047,0,1102.2467857246,1130.8747114839,0,0.8,0.85,0,0,0,0
3.4,3.6,0,1037255.7806047,1079098.1667615,0,1130.8747114839,1159.5026372432,0,0.85,0.9,0,0,0,0
3.6,3.8,0,1079098.1667615,1120940.5529183,0,1159.5026372432,1188.1305630025,0,0.9,0.95,0,0,0,0
3.8,4,1,1120940.5529183,1162782.9390751,1,1188.1305630025,1216.7584887618,1,0.95,1,6,0,0,0
