time,avg_grain_vol,dt,grain_tracker
1,390338.22086549,1,16
2,390551.0210342,1,16
4,390511.11386686,2,16
8,390407.79063496,4,16
16,390232.98096718,8,16
32,389927.3206946,16,16
48,390059.02776112,16,16
64,389892.04596335,16,16
80,390371.14957355,16,16
96,390319.54423316,16,16
112,390241.29756587,16,16
128,390164.41169991,16,16
144,390094.63153587,16,16
160,390096.31785583,16,16
176,390032.79956396,16,16
192,389976.16333299,16,16
208,389928.75109011,16,16
216,389897.71619161,8,16
220,389884.92828576,4,16
222,389878.23833345,2,16
224,389875.31285338,2,16
226,389872.98496239,2,16
230,389863.5712916,4,16
238,389839.46518046,8,16
242,389869.78020023,4,16
246,390007.47998282,4,16
248,390005.46517871,2,16
250,390043.69233894,2,16
254,390117.16636464,4,16
256,390113.25166543,2,16
258,390120.46866323,2,16
262,390139.67247648,4,16
266,390129.55995387,4,16
274,390137.4683092,8,16
282,390120.61887476,8,16
290,390104.52712693,8,16
298,390088.3279377,8,16
314,390048.69541631,16,16
330,390012.0039263,16,16
346,389991.6328815,16,16
362,389965.52624597,16,16
378,389942.01209822,16,16
394,389922.93226652,16,16
410,389899.58174215,16,16
426,389879.57519616,16,16
