var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,396251.20520537,710.29761657804,1,0
1,392438.87321947,706.87247242649,1,0
2,392419.91780359,706.85540069328,1,0
3,388629.99154862,703.43377336448,1,0
4,393668.63565946,707.97914831128,0,0
5,390008.39651947,704.68014959082,0,0
6,389984.11312335,704.65821122521,0,0
7,386324.03958996,701.34374188964,1,0
8,390064.4624948,704.73079870561,1,0
9,390001.9630584,704.67433747108,0,0
10,393670.23529538,707.98058671355,0,0
11,386068.02257793,701.11131306229,1,0
12,391178.94804851,705.73685302899,0,0
13,383799.89205739,699.04878215512,0,0
14,387527.52115753,702.43530991185,0,0
15,387829.90874479,702.70931148299,1,0
