var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.75,1,385616.71814958,386144.03430014,2,700.70140192456,701.17726148978,2,0,0.05,8,0,0,16
0.75,1.5,1,386144.03430014,386671.35045069,2,701.17726148978,701.65312105501,2,0.05,0.1,0,0,0,0
1.5,2.25,1,386671.35045069,387198.66660124,0,701.65312105501,702.12898062023,0,0.1,0.15,0,0,0,0
2.25,3,1,387198.66660124,387725.98275179,1,702.12898062023,702.60484018546,1,0.15,0.2,0,0,0,0
3,3.75,0,387725.98275179,388253.29890234,0,702.60484018546,703.08069975068,0,0.2,0.25,0,0,0,0
3.75,4.5,1,388253.29890234,388780.61505289,1,703.08069975068,703.5565593159,1,0.25,0.3,0,0,0,0
4.5,5.25,1,388780.61505289,389307.93120344,0,703.5565593159,704.03241888113,0,0.3,0.35,0,0,0,0
5.25,6,1,389307.93120344,389835.24735399,0,704.03241888113,704.50827844635,0,0.35,0.4,0,0,0,0
6,6.75,0,389835.24735399,390362.56350455,3,704.50827844635,704.98413801158,3,0.4,0.45,0,0,0,0
6.75,7.5,1,390362.56350455,390889.8796551,0,704.98413801158,705.4599975768,0,0.45,0.5,0,0,0,0
7.5,8.25,1,390889.8796551,391417.19580565,1,705.4599975768,705.93585714202,1,0.5,0.55,0,0,0,0
8.25,9,1,391417.19580565,391944.5119562,2,705.93585714202,706.41171670725,2,0.55,0.6,0,0,0,0
9,9.75,0,391944.5119562,392471.82810675,2,706.41171670725,706.88757627247,2,0.6,0.65,0,0,0,0
9.75,10.5,1,392471.82810675,392999.1442573,0,706.88757627247,707.36343583769,0,0.65,0.7,0,0,0,0
10.5,11.25,1,392999.1442573,393526.46040785,0,707.36343583769,707.83929540292,0,0.7,0.75,0,0,0,0
11.25,12,1,393526.46040785,394053.77655841,1,707.83929540292,708.31515496814,1,0.75,0.8,0,0,0,0
12,12.75,0,394053.77655841,394581.09270896,0,708.31515496814,708.79101453337,0,0.8,0.85,0,0,0,0
12.75,13.5,1,394581.09270896,395108.40885951,0,708.79101453337,709.26687409859,0,0.85,0.9,0,0,0,0
13.5,14.25,1,395108.40885951,395635.72501006,0,709.26687409859,709.74273366381,0,0.9,0.95,0,0,0,0
14.25,15,1,395635.72501006,396163.04116061,1,709.74273366381,710.21859322904,1,0.95,1,8,0,0,0
