time,avg_grain_vol,dt,grain_tracker
1,390362.05255404,1,16
3,390543.32007343,2,16
7,390422.25967629,4,16
15,390185.73514499,8,16
31,389733.89661621,16,16
63,389349.47709468,32,16
127,388951.33656562,64,16
255,387521.66340297,128,16
511,385857.3839513,256,16
1023,384795.58236417,512,16
2047,384793.96321034,1024,16
4095,385111.8014426,2048,16
8191,385217.70855661,4096,16
16383,385236.9118896,8192,16
32767,385256.97084647,16384,16
49151,385284.82968762,16384,16
65535,385276.36762918,16384,16
81919,385270.20694926,16384,16
114687,385274.77017747,32768,16
131071,385276.49921703,16384,16
163839,385263.97245017,32768,16
196607,385268.17273798,32768,16
229375,385266.84175066,32768,16
262143,385256.40684772,32768,16
294911,385257.59264239,32768,16
327679,385254.85188687,32768,16
360447,385251.40792005,32768,16
393215,385250.65333586,32768,16
425983,385248.60047544,32768,16
458751,385248.61555482,32768,16
491519,385249.32021359,32768,16
524287,385249.02826205,32768,16
557055,385244.57293856,32768,16
589823,385244.67795949,32768,16
655359,385240.54188139,65536,16
720895,385240.00870944,65536,16
786431,385238.49572671,65536,16
851967,385235.31515246,65536,16
917503,385235.53920086,65536,16
983039,385234.03202146,65536,16
1048575,385232.16799772,65536,16
1114111,385230.46320044,65536,16
1179647,385234.3692566,65536,16
1245183,385232.7574525,65536,16
1310719,385232.81196788,65536,16
1376255,385240.55809259,65536,16
1441791,385240.04736514,65536,16
1507327,385243.4044151,65536,16
1572863,385239.11074747,65536,16
1638399,385238.55696918,65536,16
1703935,385234.63597197,65536,16
1769471,385232.06511007,65536,16
1835007,385227.46103184,65536,16
1900543,385229.32760906,65536,16
1966079,385231.59912253,65536,16
2031615,385226.09350102,65536,16
2097151,385226.42605137,65536,16
2162687,385225.13618865,65536,16
2228223,385226.32889834,65536,16
2293759,385231.57983677,65536,16
2359295,385230.31678445,65536,16
2424831,385227.73034517,65536,16
2490367,385227.51475588,65536,16
2555903,385224.81410303,65536,16
2621439,385228.86760533,65536,16
2686975,385229.24652937,65536,16
2752511,385228.97424394,65536,16
2818047,385228.73453435,65536,16
2883583,385228.79174432,65536,16
2949119,385226.81956038,65536,16
3014655,385225.23848119,65536,16
3080191,385227.06691286,65536,16
3145727,385225.11467189,65536,16
3211263,385224.20296252,65536,16
3276799,385223.27357322,65536,16
