var_num,feature_volumes,feature_diameters,intersects_bounds,percolated
0,391303.22891124,705.84895341167,1,0
1,387197.72432864,702.13635018185,1,0
2,387240.06753217,702.17474127732,1,0
3,383090.3353258,698.4022939128,1,0
4,388922.90521025,703.69881537983,0,0
5,384932.94408161,700.07988578164,0,0
6,384996.19533543,700.13740113899,0,0
7,381009.56171685,696.50300853629,1,0
8,389707.66597901,704.40841222327,1,0
9,384936.88151689,700.08346629122,0,0
10,385233.55253644,700.35319164562,0,0
11,382266.60704506,697.65103076072,1,0
12,386620.42201745,701.61272089011,0,0
13,383483.12372004,698.76024347334,0,0
14,384143.50697257,699.36164030545,0,0
15,379238.5889587,694.88241332745,1,0
