var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.75,1,363459.83113162,366023.23463396,1,680.27305541197,682.59285706307,1,0,0.05,9,0,0,16
0.75,1.5,1,366023.23463396,368586.6381363,0,682.59285706307,684.91265871417,0,0.05,0.1,0,0,0,0
1.5,2.25,1,368586.6381363,371150.04163865,1,684.91265871417,687.23246036527,1,0.1,0.15,0,0,0,0
2.25,3,1,371150.04163865,373713.44514099,1,687.23246036527,689.55226201637,1,0.15,0.2,0,0,0,0
3,3.75,0,373713.44514099,376276.84864334,0,689.55226201637,691.87206366747,0,0.2,0.25,0,0,0,0
3.75,4.5,1,376276.84864334,378840.25214568,1,691.87206366747,694.19186531857,1,0.25,0.3,0,0,0,0
4.5,5.25,1,378840.25214568,381403.65564802,2,694.19186531857,696.51166696967,2,0.3,0.35,0,0,0,0
5.25,6,1,381403.65564802,383967.05915037,1,696.51166696967,698.83146862078,1,0.35,0.4,0,0,0,0
6,6.75,0,383967.05915037,386530.46265271,3,698.83146862078,701.15127027188,2,0.4,0.45,0,0,0,0
6.75,7.5,1,386530.46265271,389093.86615505,2,701.15127027188,703.47107192298,3,0.45,0.5,0,0,0,0
7.5,8.25,1,389093.86615505,391657.2696574,1,703.47107192298,705.79087357408,1,0.5,0.55,0,0,0,0
8.25,9,1,391657.2696574,394220.67315974,0,705.79087357408,708.11067522518,0,0.55,0.6,0,0,0,0
9,9.75,0,394220.67315974,396784.07666209,1,708.11067522518,710.43047687628,1,0.6,0.65,0,0,0,0
9.75,10.5,1,396784.07666209,399347.48016443,0,710.43047687628,712.75027852738,0,0.65,0.7,0,0,0,0
10.5,11.25,1,399347.48016443,401910.88366677,0,712.75027852738,715.07008017848,0,0.7,0.75,0,0,0,0
11.25,12,1,401910.88366677,404474.28716912,0,715.07008017848,717.38988182958,0,0.75,0.8,0,0,0,0
12,12.75,0,404474.28716912,407037.69067146,1,717.38988182958,719.70968348068,1,0.8,0.85,0,0,0,0
12.75,13.5,1,407037.69067146,409601.09417381,0,719.70968348068,722.02948513178,0,0.85,0.9,0,0,0,0
13.5,14.25,1,409601.09417381,412164.49767615,0,722.02948513178,724.34928678288,0,0.9,0.95,0,0,0,0
14.25,15,1,412164.49767615,414727.90117849,1,724.34928678288,726.66908843398,1,0.95,1,7,0,0,0
