time,avg_grain_vol,dt,grain_tracker
1,20824.726570137,1,3
2,20817.252222071,1,3
4,20828.350936355,2,3
8,20819.304968444,4,3
12,20819.829356913,4,3
16,20809.452981281,4,3
24,20802.125124526,8,3
32,20804.045174633,8,3
48,20788.311423211,16,3
64,20773.159821208,16,3
80,20769.984920136,16,3
96,20757.0802572,16,3
112,20744.918320311,16,3
128,20733.610133298,16,3
144,20727.728965808,16,3
160,20721.68914789,16,3
176,20712.836959127,16,3
192,20704.429896759,16,3
208,20696.287363824,16,3
224,20687.056187845,16,3
240,20678.862936938,16,3
256,20672.475644469,16,3
272,20667.698535471,16,3
288,20663.480322868,16,3
304,20658.72365402,16,3
336,20650.247183667,32,3
368,20640.529626601,32,3
384,20635.414863698,16,3
400,20631.701538656,16,3
416,20627.793318528,16,3
432,20623.405814863,16,3
448,20619.493190589,16,3
464,20616.649054473,16,3
480,20612.753834605,16,3
496,20609.902877024,16,3
512,20606.985801459,16,3
544,20601.182513798,32,3
560,20600.141847997,16,3
576,20596.873806334,16,3
592,20595.032015612,16,3
608,20592.17407002,16,3
624,20590.710472237,16,3
640,20588.648283479,16,3
656,20586.978478506,16,3
672,20586.255324067,16,3
704,20582.499009999,32,3
720,20580.63122935,16,3
736,20578.708215326,16,3
752,20576.441530844,16,3
768,20574.766307251,16,3
784,20572.692470992,16,3
800,20570.930398175,16,3
816,20569.86335102,16,3
848,20567.306860064,32,3
864,20566.857236374,16,3
880,20565.505758153,16,3
888,20565.283117995,8,3
904,20564.931240096,16,3
920,20564.436443019,16,3
936,20563.95475034,16,3
952,20562.748144473,16,3
968,20562.641790405,16,3
984,20561.558999411,16,3
1000,20560.919299477,16,3
1016,20559.957962586,16,3
1024,20560.930538167,8,3
1040,20559.821515346,16,3
1056,20558.689745345,16,3
1072,20557.670909518,16,3
1088,20556.913966921,16,3
1104,20555.56104437,16,3
1120,20554.83609472,16,3
1136,20554.376961937,16,3
1152,20553.528813829,16,3
1168,20553.104124286,16,3
1184,20552.821895072,16,3
1200,20551.802298143,16,3
1216,20550.850187242,16,3
1232,20550.8743152,16,3
1240,20551.003523193,8,3
1248,20550.933493679,8,3
1256,20550.808636517,8,3
1272,20551.258838284,16,3
1288,20551.649390978,16,3
1304,20550.504943038,16,3
1320,20550.575439193,16,3
1336,20549.912234949,16,3
1352,20549.751245968,16,3
1368,20549.571540569,16,3
1384,20549.832703514,16,3
1400,20549.951766918,16,3
1416,20549.087945401,16,3
1432,20549.329586657,16,3
1448,20549.77524235,16,3
1464,20549.667342674,16,3
1480,20549.228885534,16,3
1496,20548.463816387,16,3
1512,20547.93664378,16,3
1528,20547.676788405,16,3
1544,20547.982832919,16,3
1560,20548.138742287,16,3
1568,20547.850605753,8,3
1576,20547.940717584,8,3
