var_num_lower,var_num_upper,var_num,feature_volumes_lower,feature_volumes_upper,feature_volumes,feature_diameters_lower,feature_diameters_upper,feature_diameters,intersects_bounds_lower,intersects_bounds_upper,intersects_bounds,percolated_lower,percolated_upper,percolated
0,0.1,1,19525.424784513,19654.955030508,1,157.67226440752,158.17897352782,1,1,1,3,0,0,3
0.1,0.2,0,19654.955030508,19784.485276503,0,158.17897352782,158.68568264812,0,1,1,0,0,0,0
0.2,0.3,0,19784.485276503,19914.015522497,0,158.68568264812,159.19239176842,0,1,1,0,0,0,0
0.3,0.4,0,19914.015522497,20043.545768492,0,159.19239176842,159.69910088872,0,1,1,0,0,0,0
0.4,0.5,0,20043.545768492,20173.076014487,1,159.69910088872,160.20581000903,1,1,1,0,0,0,0
0.5,0.6,0,20173.076014487,20302.606260482,0,160.20581000903,160.71251912933,0,1,1,0,0,0,0
0.6,0.7,0,20302.606260482,20432.136506476,0,160.71251912933,161.21922824963,0,1,1,0,0,0,0
0.7,0.8,0,20432.136506476,20561.666752471,0,161.21922824963,161.72593736993,0,1,1,0,0,0,0
0.8,0.9,0,20561.666752471,20691.196998466,0,161.72593736993,162.23264649023,0,1,1,0,0,0,0
0.9,1,1,20691.196998466,20820.727244461,0,162.23264649023,162.73935561054,0,1,1,0,0,0,0
1,1.1,0,20820.727244461,20950.257490456,0,162.73935561054,163.24606473084,0,1,1,0,0,0,0
1.1,1.2,0,20950.257490456,21079.78773645,0,163.24606473084,163.75277385114,0,1,1,0,0,0,0
1.2,1.3,0,21079.78773645,21209.317982445,0,163.75277385114,164.25948297144,0,1,1,0,0,0,0
1.3,1.4,0,21209.317982445,21338.84822844,0,164.25948297144,164.76619209174,0,1,1,0,0,0,0
1.4,1.5,0,21338.84822844,21468.378474435,0,164.76619209174,165.27290121205,0,1,1,0,0,0,0
1.5,1.6,0,21468.378474435,21597.908720429,0,165.27290121205,165.77961033235,0,1,1,0,0,0,0
1.6,1.7,0,21597.908720429,21727.438966424,0,165.77961033235,166.28631945265,0,1,1,0,0,0,0
1.7,1.8,0,21727.438966424,21856.969212419,0,166.28631945265,166.79302857295,0,1,1,0,0,0,0
1.8,1.9,0,21856.969212419,21986.499458414,0,166.79302857295,167.29973769325,0,1,1,0,0,0,0
1.9,2,1,21986.499458414,22116.029704409,1,167.29973769325,167.80644681356,1,1,1,0,0,0,0
