time,avg_grain_vol,dt,grain_tracker
15,624992.15210263,15,10
45,624998.91408661,30,10
105,624997.1069556,60,10
225,624993.43320753,120,10
465,624985.99161612,240,10
945,624971.08207926,480,10
1905,624941.37772946,960,10
3825,624882.59717756,1920,10
7665,624767.55665028,3840,10
15345,624546.77774188,7680,10
30705,624137.6643181,15360,10
61425,624082.31514972,30720,10
122865,624548.55349198,61440,10
245745,624046.10560553,122880,10
491505,623754.60590298,245760,10
983025,623471.59211212,491520,10
1966065,623485.80143895,983040,10
3932145,623581.08794107,1966080,10
7864305,623597.42060306,3932160,10
11796465,623595.76549607,3932160,10
15728625,623587.74692569,3932160,10
19660785,623602.45786865,3932160,10
23592945,623603.06969215,3932160,10
27525105,623599.76735017,3932160,10
35389425,623608.65815866,7864320,10
39321585,623616.81004842,3932160,10
47185905,623611.51977794,7864320,10
51118065,623612.61078624,3932160,10
58982385,623615.92750256,7864320,10
62914545,623624.1647044,3932160,10
70778865,623611.83978242,7864320,10
74711025,623616.39737392,3932160,10
82575345,623633.03414748,7864320,10
90439665,623619.23932116,7864320,10
98303985,623625.22194348,7864320,10
106168305,623628.20403904,7864320,10
114032625,623637.06765878,7864320,10
121896945,623632.35854874,7864320,10
129761265,623629.76155388,7864320,10
137625585,623642.77838151,7864320,10
145489905,623644.24018953,7864320,10
153354225,623636.72958554,7864320,10
161218545,623642.20124964,7864320,10
169082865,623639.47188059,7864320,10
176947185,623644.53622913,7864320,10
184811505,623650.60627443,7864320,10
192675825,623651.69218384,7864320,10
200540145,623657.21196021,7864320,10
208404465,623654.70896546,7864320,10
216268785,623655.45944666,7864320,10
224133105,623673.97643515,7864320,10
231997425,623660.52013608,7864320,10
239861745,623654.73377941,7864320,10
247726065,623655.88655945,7864320,10
255590385,623659.98806666,7864320,10
263454705,623658.19886014,7864320,10
271319025,623666.56588268,7864320,10
279183345,623667.64944176,7864320,10
287047665,623671.18097601,7864320,10
294911985,623664.21367884,7864320,10
302776305,623676.45141423,7864320,10
310640625,623685.97366872,7864320,10
318504945,623674.77191433,7864320,10
326369265,623687.32053246,7864320,10
334233585,623686.10889567,7864320,10
342097905,623678.43143086,7864320,10
349962225,623675.13748876,7864320,10
357826545,623682.3113267,7864320,10
365690865,623685.06238357,7864320,10
373555185,623675.64888494,7864320,10
381419505,623690.16332863,7864320,10
389283825,623689.87819535,7864320,10
397148145,623692.78889486,7864320,10
405012465,623683.59686885,7864320,10
412876785,623677.57431767,7864320,10
420741105,623705.60779751,7864320,10
428605425,623701.28907411,7864320,10
436469745,623698.77577827,7864320,10
444334065,623703.25790462,7864320,10
452198385,623699.16296312,7864320,10
