time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
150,150,4434143.1381948,3117225.909481,5015473.4059626,3119460.1287576,3964161.7319647,5356777.9793754
450,300,4439706.4680284,3115323.4213946,5016996.9805623,3117352.2111702,3969718.6845274,5358353.9893706
1050,600,4450170.5496753,3105518.9810163,5017664.0657716,3107637.6702165,3980035.8444479,5359117.131194
2250,1200,4467615.1696099,3086600.033075,5018030.2612365,3088675.7461522,3997219.5102866,5359526.7011128
4650,2400,4499344.5834856,3053779.7163134,5019129.8540768,3055313.8023745,4028816.8135377,5360475.2351632
5850,1200,4515554.3836009,3037538.6191716,5019380.5810433,3038887.2442704,4045005.667887,5360649.814935
8250,2400,4548009.6519946,3004991.4174208,5019701.0063977,3006025.0484608,4077499.4230887,5360828.5986021
9450,1200,4564415.7291325,2988594.8948445,5019779.1031439,2989529.4702992,4093893.9539514,5360839.9202203
11850,2400,4597103.8149032,2955889.9025927,5019949.728471,2956643.273832,4126580.1573082,5360881.8875176
13050,1200,4613537.9450996,2939461.3180861,5020017.1014505,2940154.1607041,4142992.0964933,5360888.5351983
15450,2400,4646295.9505171,2906674.6630659,5020167.7859165,2907261.0227998,4175723.6857663,5360926.5272479
17850,2400,4678915.3054201,2873979.2818353,5020339.1322998,2874479.7281858,4208338.5268054,5360996.6837959
20250,2400,4711513.0845558,2841283.5010812,5020512.8473971,2841726.551535,4240932.8131858,5361080.2552588
22650,2400,4744118.199517,2808565.7646013,5020685.9539063,2808975.8698957,4273530.9297648,5361172.5865855
25050,2400,4776732.6321634,2775826.6644188,5020859.2894356,2776221.9817077,4306136.2081542,5361272.6249789
27450,2400,4809353.6499751,2743070.448442,5021033.6282736,2743463.8148649,4338746.9358685,5361380.9629431
29850,2400,4841978.1677168,2710300.5457077,5021210.1051015,2710702.0780143,4371360.9362152,5361497.6222594
32250,2400,4874603.678265,2677520.4192449,5021389.2862576,2677936.7474778,4403977.7251299,5361621.6021579
34650,2400,4907229.6398148,2644732.445306,5021571.1976101,2645167.8619432,4436595.5779827,5361752.7217027
37050,2400,4939855.6037844,2611938.4370578,5021755.7091625,2612394.9782065,4469213.9579262,5361890.7338843
39450,2400,4972480.7869958,2579139.5559317,5021943.1685821,2579618.4985012,4501832.8615367,5362034.5144701
41850,2400,5005105.046518,2546336.3711533,5022133.4298777,2546838.2026632,4534452.792983,5362183.5147059
