time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
75,75,4433183.5062297,3963253.2991924,8474974.6009663,8131377.5190831,0,0
112.5,37.5,4433979.6187237,3964076.9771654,8474970.624118,8131426.1823562,0,0
187.5,75,4435849.3794723,3965969.1852616,8474733.1512241,8131234.9283043,0,0
337.5,150,4440096.2045027,3970170.4797452,8472795.8406252,8129295.7960456,0,0
487.5,150,4444564.6137281,3974558.8377261,8469369.0292867,8125826.3114498,0,0
562.5,75,4446808.211481,3976763.5919034,8467294.8396811,8123736.5417788,0,0
637.5,75,4449039.00767,3978961.0527748,8465119.2789132,8121557.7041827,0,0
712.5,75,4451266.3979966,3981159.7417403,8462906.3314955,8119351.9896313,0,0
750,37.5,4452382.1738291,3982262.3566937,8461792.6455749,8118244.8376406,0,0
825,75,4454624.1472992,3984478.8296082,8459560.5911852,8116027.2816885,0,0
975,150,4459145.9293745,3988951.3656159,8455074.5601391,8111571.4698685,0,0
1125,150,4463704.3356037,3993464.3226524,8450560.3156788,8107078.5466948,0,0
1425,300,4472872.6271254,4002560.6516188,8441498.1222925,8097979.519144,0,0
2025,600,4491253.9692536,4020843.262851,8423452.7270229,8079491.8176026,0,0
3225,1200,4527752.3563442,4057274.6460656,8387730.6466728,8042446.5307019,0,0
4425,1200,4564014.8867638,4093600.1446925,8352117.3634466,8005586.7103948,0,0
5625,1200,4600231.1688607,4129909.9766253,8316411.5769334,7968850.3097138,0,0
8025,2400,4671725.663627,4201727.5084372,8245368.6848802,7896684.3793903,0,0
9225,1200,4707675.9075844,4237779.3978547,8209523.6243372,7860561.334084,0,0
11625,2400,4779184.2609118,4309515.0043296,8137955.5167786,7788924.2607342,0,0
12825,1200,4815149.9002756,4345541.5135904,8101898.7632041,7753004.4631317,0,0
15225,2400,4886778.4086969,4417331.4248136,8029858.2174953,7681647.6018369,0,0
16425,1200,4922758.240155,4453366.3175978,7993619.3016972,7645879.8472549,0,0
18825,2400,4994421.7963667,4525185.7735028,7921230.4670213,7574794.1459216,0,0
20025,1200,5030395.1402784,4561226.7047984,7884827.6684646,7539190.147425,0,0
22425,2400,5102106.9030107,4633088.4000801,7812096.1571236,7468356.0311378,0,0
