time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
600,600,4369253.5417633,3902180.9505476,8453267.3381979,8110770.3743623,0,0
1200,600,4366001.2334796,3899451.5913189,8444998.6884847,8102478.4071955,0,0
2400,1200,4391304.9083455,3924560.9862769,8423494.5584748,8080670.1764817,0,0
3600,1200,4415682.283554,3948790.8534954,8399065.6551005,8056162.6889134,0,0
6000,2400,4459544.5051292,3992690.7312312,8353372.0060458,8010524.2637752,0,0
7200,1200,4481486.0809073,4014631.6461975,8330935.3038258,7987993.3887921,0,0
9600,2400,4525300.815132,4058487.6129003,8286260.5510804,7943125.4549596,0,0
10800,1200,4547377.2483713,4080551.0929064,8263801.9711659,7920513.9067836,0,0
13200,2400,4591333.8907624,4124510.6427955,8219073.2380153,7875518.9732187,0,0
14400,1200,4613415.9869207,4146574.5072905,8196626.9360293,7852927.2754402,0,0
16800,2400,4657418.8702313,4190561.5200352,8151872.1157309,7807943.1589758,0,0
18000,1200,4679496.0663325,4212618.4752695,8129423.8269302,7785388.0291085,0,0
20400,2400,4723507.0499392,4256609.1943515,8084642.3713685,7740452.7062896,0,0
21600,1200,4745572.7392425,4278656.9226103,8062190.2219224,7717937.413708,0,0
24000,2400,4789579.3632864,4322642.2470804,8017384.8327335,7673059.2322343,0,0
25200,1200,4811634.6087564,4344680.2397223,7994926.561196,7650580.534174,0,0
27600,2400,4855631.0395766,4388657.8052572,7950101.55285,7605755.6868195,0,0
30000,2400,4899476.1838401,4432501.9676532,7905403.5207086,7561099.8047279,0,0
31200,1200,4921493.7419639,4454508.9393592,7882959.4026816,7538686.7562263,0,0
33600,2400,4965457.8532682,4498461.1728177,7838127.0203293,7493941.0181061,0,0
36000,2400,5009299.4621034,4542304.0474913,7793400.3961099,7449325.3631202,0,0
37200,1200,5031306.1194885,4564302.0368898,7770950.3975139,7426940.2075587,0,0
39600,2400,5075254.4398398,4608243.185071,7726103.8375698,7382235.9266474,0,0
42000,2400,5119090.9955682,4652085.4623777,7681357.0020399,7337642.2604341,0,0
44400,2400,5162893.5213789,4695895.5297899,7636638.707752,7293084.4153487,0,0
46800,2400,5206685.9839153,4739698.1752098,7591922.0491294,7248538.0688513,0,0
49200,2400,5250473.6310026,4783499.2733081,7547202.6620257,7203995.3600875,0,0
51600,2400,5294260.7411202,4827298.4482313,7502480.6910721,7159451.4245488,0,0
54000,2400,5338049.5213285,4871099.0597749,7457752.3111074,7114903.312399,0,0
56400,2400,5381838.0601767,4914902.0886782,7413017.0049106,7070351.9853149,0,0
58800,2400,5425625.1320353,4958704.9477977,7368278.7775198,7025796.9741914,0,0
61200,2400,5469413.2894456,5002507.3001443,7323537.8738773,6981235.2232759,0,0
63600,2400,5513203.2401333,5046312.2190752,7278790.613406,6936666.0971259,0,0
66000,2400,5556993.2062697,5090119.4756372,7234038.1121469,6892090.6244329,0,0
68400,2400,5600782.0292685,5133926.2330861,7189283.3047709,6847509.1381751,0,0
70800,2400,5644572.1710886,5177732.2807052,7144527.0453334,6802918.3318078,0,0
73200,2400,5688364.8612137,5221540.8027541,7099765.6293782,6758317.370808,0,0
75600,2400,5732158.4470071,5265352.2088224,7054998.9709209,6713707.7239109,0,0
78000,2400,5775950.6459837,5309164.5892089,7010229.0606675,6669091.0472998,0,0
80400,2400,5819742.7294986,5352976.3602093,6965458.7532562,6624464.4898078,0,0
82800,2400,5863537.3058049,5396789.6212925,6920686.1681458,6579825.5161114,0,0
85200,2400,5907334.8177203,5440605.5984228,6875909.1463434,6535174.5052719,0,0
87600,2400,5951132.6508042,5484424.3700297,6831127.3537069,6490514.3816445,0,0
90000,2400,5994929.3013319,5528243.8988954,6786343.5246404,6445845.4309123,0,0
92400,2400,6038725.6509086,5572063.5256822,6741559.3632879,6401166.1551902,0,0
94800,2400,6082524.1996403,5615883.496726,6696774.0868297,6356474.351456,0,0
97200,2400,6126325.4720696,5659705.9074081,6651985.4905646,6311769.6885026,0,0
99600,2400,6170128.9363072,5703531.7811891,6607192.5850326,6267052.4041345,0,0
102000,2400,6213932.7107255,5747360.3731468,6562396.5423101,6222324.0943634,0,0
104400,2400,6257736.1428024,5791189.394918,6517600.0353551,6177585.183923,0,0
106800,2400,6301539.0321809,5835018.1926708,6472804.0229026,6132835.2425357,0,0
109200,2400,6345343.0815267,5878847.4774767,6428007.8449716,6088072.6478511,0,0
111600,2400,6389149.3666062,5922678.7849723,6383209.0180178,6043296.9928112,0,0
114000,2400,6432957.9386735,5966512.3543264,6338408.0472706,5998507.8177981,0,0
116400,2400,6476766.696587,6010347.8204235,6293605.8858598,5953706.104985,0,0
118800,2400,6520573.5881076,6054182.5683162,6248805.695147,5908893.429145,0,0
121200,2400,6564376.9737307,6098014.1486181,6204008.2700645,5864072.6384665,0,0
123600,2400,6608175.7579595,6141840.4442224,6159216.3345198,5819244.1063254,0,0
126000,2400,6651968.3097653,6185661.4152044,6114430.8170507,5774408.1185693,0,0
128400,2400,6695752.9285422,6229475.302146,6069654.454742,5729565.1933722,0,0
130800,2400,6739527.9599164,6273280.0315617,6024887.9928415,5684718.0807378,0,0
133200,2400,6783293.399965,6317074.2533405,5980133.0390743,5639865.7075785,0,0
135600,2400,6827054.7881709,6360864.3967955,5935384.4054797,5594999.8649515,0,0
138000,2400,6870835.2734944,6404673.6708969,5890619.8160338,5550092.6303601,0,0
140400,2400,6914699.5771495,6448567.423371,5845771.9496883,5505072.5087465,0,0
