time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
600,600,4502268.4102073,4029805.3465249,8593195.9352252,8249226.9048084,0,0
1200,600,4522734.3459274,4049880.5779481,8607480.9220552,8263474.8669747,0,0
2400,1200,4539262.242092,4066498.7338444,8587143.9434425,8243238.4711923,0,0
3600,1200,4554672.2311375,4081937.2747095,8567529.9543011,8223839.0238771,0,0
6000,2400,4586584.1864266,4113909.5975956,8534108.5495393,8191011.3350947,0,0
7200,1200,4602866.5080579,4130183.6685599,8517576.1709855,8174692.5272266,0,0
9600,2400,4635251.8547841,4162588.8503011,8484446.5642853,8141959.8428762,0,0
10800,1200,4651585.568728,4178898.8048729,8467800.1968336,8125466.0155091,0,0
13200,2400,4684144.5852804,4211427.2241683,8434652.2424915,8092605.5590955,0,0
14400,1200,4700510.1783234,4227757.7025335,8418042.1574833,8076111.6546471,0,0
16800,2400,4733143.1117851,4260335.7291975,8384941.9328877,8043223.7409535,0,0
18000,1200,4749516.8291169,4276670.9663045,8368367.5496212,8026736.5498174,0,0
20400,2400,4782178.1274514,4309269.3146198,8335321.6252178,7993846.5113702,0,0
22800,2400,4814732.9942105,4341775.7756462,8302414.6046769,7961071.0932086,0,0
24000,1200,4831089.232826,4358095.9961765,8285904.6801957,7944617.1035285,0,0
26400,2400,4863752.2340692,4390693.9346134,8252943.6771464,7911754.0773986,0,0
28800,2400,4896332.8541646,4423220.5510191,8220085.116774,7878976.2681346,0,0
31200,2400,4928891.5880933,4455728.1044397,8187269.3682931,7846226.1249126,0,0
33600,2400,4961447.3017989,4488234.3046061,8154472.1354885,7813484.018033,0,0
36000,2400,4994004.9874583,4520741.6226789,8121686.8159358,7780745.5364013,0,0
38400,2400,5026565.8217428,4553251.4381965,8088909.5826945,7748009.3656166,0,0
40800,2400,5059128.9216447,4585763.8717779,8056138.5569511,7715275.8383916,0,0
43200,2400,5091694.3301978,4618279.3765837,8023372.3332899,7682543.9340764,0,0
45600,2400,5124261.5587588,4650796.0643572,7990611.9241538,7649813.3661718,0,0
48000,2400,5156830.8104421,4683314.6720519,7957855.0503596,7617084.1801644,0,0
50400,2400,5189401.5369503,4715835.6113127,7925099.9935989,7584356.9777589,0,0
52800,2400,5221974.3760362,4748359.6980508,7892345.8301219,7551630.2803184,0,0
55200,2400,5254549.2573786,4780885.8877807,7859593.2683229,7518903.6168667,0,0
57600,2400,5287126.7058329,4813413.7776826,7826842.1161382,7486176.4050701,0,0
60000,2400,5319705.9654357,4845943.8329765,7794091.6937842,7453448.9312167,0,0
62400,2400,5352287.256238,4878477.0786299,7761340.8142418,7420720.6405452,0,0
64800,2400,5384870.1166203,4911014.0853967,7728588.1554131,7387992.2056583,0,0
67200,2400,5417455.3368714,4943553.8027255,7695834.4970418,7355262.7267236,0,0
69600,2400,5450042.9614921,4976095.5388591,7663080.8659564,7322531.4699135,0,0
