time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
600,600,4439913.1656365,3969546.108685,8473684.7107693,8130432.4982874,0,0
1200,600,4449421.3213912,3978834.3738934,8466529.8936964,8123358.5422616,0,0
2400,1200,4467533.8829768,3996531.7140793,8448375.4509313,8105344.7870383,0,0
4800,2400,4500443.6703359,4028815.9113234,8414974.6435209,8072741.1413457,0,0
6000,1200,4517009.2808161,4045057.2165163,8398448.2942887,8056504.3838814,0,0
8400,2400,4550087.2372129,4077548.6623152,8365419.5294612,8023987.2288183,0,0
9600,1200,4566801.0134209,4093933.6330491,8348776.8286428,8007534.632106,0,0
12000,2400,4600102.2512395,4126597.1582842,8315613.4130525,7974730.2254812,0,0
13200,1200,4616845.5378892,4142997.0560312,8298969.8597827,7958232.8628262,0,0
15600,2400,4650220.3329532,4175701.6301165,8265793.8260648,7925327.97737,0,0
18000,2400,4683455.0283779,4208286.1151482,8232763.0507005,7892538.608157,0,0
20400,2400,4716669.6546579,4240847.6244857,8199773.2445409,7859752.6841596,0,0
22800,2400,4749893.7164585,4273410.6808961,8166793.7998459,7826945.2676235,0,0
25200,2400,4783129.2472799,4305978.5969226,8133818.0061211,7794117.7155286,0,0
27600,2400,4816373.319075,4338549.6599606,8100845.4730696,7761275.1550837,0,0
30000,2400,4849622.7369043,4371121.6580857,8067877.01616,7728422.2123638,0,0
32400,2400,4882875.08612,4403694.1429896,8034911.6525603,7695562.7486004,0,0
34800,2400,4916129.7221517,4436265.4086223,8001949.2492053,7662699.2377946,0,0
37200,2400,4949386.0500182,4468834.9500308,7968989.1533255,7629833.440339,0,0
39600,2400,4982643.2158778,4501402.7627559,7936030.7837323,7596966.79714,0,0
42000,2400,5015901.2486403,4533969.4247073,7903073.3491128,7564099.5096385,0,0
44400,2400,5049159.9918545,4566533.9190092,7870117.7720413,7531231.8010131,0,0
46800,2400,5082419.7981391,4599096.4498653,7837163.1556349,7498364.0424733,0,0
49200,2400,5115680.4179018,4631657.8017368,7804208.0545614,7465497.1250703,0,0
51600,2400,5148942.5736558,4664218.7771389,7771251.8683611,7432630.1365545,0,0
54000,2400,5182206.4302431,4696779.1222605,7738295.0156947,7399762.7326382,0,0
56400,2400,5215472.6112687,4729338.3164018,7705337.7663561,7366894.559154,0,0
58800,2400,5248740.7326067,4761896.8208109,7672379.6281422,7334026.0206984,0,0
61200,2400,5282011.1142839,4794455.499947,7639419.8469714,7301156.6969241,0,0
63600,2400,5315283.6366494,4827015.2216016,7606457.2456652,7268287.0111832,0,0
66000,2400,5348559.0376262,4859575.4191891,7573492.3394791,7235416.2707538,0,0
68400,2400,5381837.505546,4892135.5863056,7540525.9602868,7202543.9632292,0,0
70800,2400,5415119.6131997,4924695.4838117,7507558.6024614,7169669.2690527,0,0
73200,2400,5448405.2310432,4957256.3042569,7474588.6064143,7136792.7856864,0,0
75600,2400,5481694.3665394,4989818.8234318,7441615.0149166,7103914.6784315,0,0
78000,2400,5514986.7824847,5022383.6582693,7408637.3621364,7071035.0310957,0,0
80400,2400,5548282.8004871,5054950.1209603,7375656.6907237,7038153.1788179,0,0
82800,2400,5581582.9479875,5087517.8396066,7342673.2253599,7005268.7403646,0,0
85200,2400,5614887.9291771,5120085.9396925,7309687.7296708,6972381.1195423,0,0
87600,2400,5648197.9309492,5152654.6917146,7276699.8007101,6939490.2568973,0,0
90000,2400,5681512.6995289,5185224.3767885,7243709.1735308,6906596.3981313,0,0
92400,2400,5714831.5105174,5217796.3968791,7210714.459502,6873700.255136,0,0
94800,2400,5748154.0154941,5250371.174933,7177715.3983716,6840802.0073432,0,0
97200,2400,5781480.2315996,5282948.9605191,7144711.6733622,6807901.7081231,0,0
99600,2400,5814810.9524767,5315528.6644849,7111704.071652,6774998.870659,0,0
102000,2400,5848146.8412879,5348109.7543161,7078692.946214,6742093.0203068,0,0
104400,2400,5881488.6373281,5380691.3857103,7045679.4320341,6709183.1152076,0,0
106800,2400,5914836.4308084,5413273.7023484,7012663.5572241,6676268.8992252,0,0
109200,2400,5948190.3081556,5445856.7214771,6979645.0089315,6643350.589053,0,0
111600,2400,5981549.6797344,5478441.4192211,6946622.4249456,6610429.1773016,0,0
114000,2400,6014914.0561146,5511028.4377497,6913595.4134395,6577504.9017846,0,0
116400,2400,6048282.7088564,5543618.5119991,6880563.4877505,6544578.2508171,0,0
118800,2400,6081655.8169895,5576211.5667169,6847526.444964,6511649.3510271,0,0
121200,2400,6115033.8068844,5608807.4694954,6814483.8687395,6478718.3532652,0,0
123600,2400,6148417.783545,5641405.9288608,6781436.1578988,6445784.0787129,0,0
126000,2400,6181808.395039,5674006.5415055,6748383.9003082,6412845.7220062,0,0
128400,2400,6215206.5147369,5706609.0208079,6715326.9872781,6379902.8869739,0,0
130800,2400,6248612.5883392,5739212.834628,6682265.2773076,6346955.8865248,0,0
133200,2400,6282027.2083079,5771817.9380167,6649198.5150513,6314004.5622917,0,0
135600,2400,6315450.6598763,5804423.940117,6616126.55195,6281049.3261858,0,0
138000,2400,6348883.3925891,5837030.5925135,6583048.1528637,6248091.4677398,0,0
140400,2400,6382326.5069515,5869637.409147,6549961.9258304,6215132.1058207,0,0
142800,2400,6415781.7461137,5902243.5868551,6516866.2117008,6182172.4276998,0,0
145200,2400,6449252.4556572,5934848.350577,6483757.2777478,6149214.2737328,0,0
147600,2400,6482743.4652052,5967449.550188,6450629.7082396,6116261.3330106,0,0
150000,2400,6516262.9294641,6000044.1981178,6417475.3146535,6083317.9879034,0,0
152400,2400,6549823.9932286,6032626.6166891,6384281.5206889,6050391.3181034,0,0
154800,2400,6583448.5417013,6065187.3261432,6351026.2711311,6017493.8683947,0,0
157200,2400,6617174.6489527,6097709.5440989,6317672.1269498,5984646.1857726,0,0
159600,2400,6651070.0753431,6130161.4488534,6284152.6341623,5951885.7285297,0,0
162000,2400,6685267.5858146,6162476.9673134,6250336.124514,5919289.5149872,0,0
164400,2400,6720067.5065641,6194485.0976844,6215922.6941847,5887052.653916,0,0
166800,2400,6756483.1570789,6225471.853851,6179890.9744851,5855973.0768225,0,0
168000,1200,6776354.8201283,6239794.197987,6160226.347781,5841718.3365275,0,0
169200,1200,6804251.0661363,6242817.3530022,6131958.5985769,5839307.5143708,0,0
169800,600,6820806.2531085,6242980.169062,6115158.1482322,5838985.4951226,0,0
170400,600,6837688.4231412,6243199.269003,6098261.0561263,5838516.9530707,0,0
171600,1200,6871256.5422465,6244649.7151828,6065170.3441106,5836587.9035342,0,0
172800,1200,6905334.2298187,6247318.8665968,6031775.5236984,5833480.0090706,0,0
174000,1200,6942700.2273884,6253755.9133851,5995244.2394169,5826699.0704766,0,0
