time,dt,gr0_area,gr1_area,gr2_area,gr3_area,gr4_area,gr5_area
75,75,4430569.5965825,3961216.5553441,8472993.4444892,8129261.7093172,0,0
112.5,37.5,4430342.287574,3961235.2124772,8472796.152626,8128881.9230898,0,0
187.5,75,4430851.8152821,3961968.7080958,8474207.3172173,8129596.6602998,0,0
262.5,75,4431716.663689,3962889.2876057,8476498.2923099,8130924.2093503,0,0
300,37.5,4432099.5834123,3963287.9652053,8477700.4813367,8131575.2428192,0,0
337.5,37.5,4432389.6604292,3963619.4824016,8478807.4225051,8132150.3426775,0,0
375,37.5,4432592.6834158,3963868.1738616,8479779.3664608,8132594.5325598,0,0
412.5,37.5,4432726.3063027,3964062.5802817,8480635.768994,8132846.6408155,0,0
450,37.5,4432793.1751959,3964210.1183839,8481428.8356015,8132959.8227965,0,0
487.5,37.5,4432795.0462583,3964279.247145,8482205.9016937,8132990.239552,0,0
525,37.5,4432746.5460241,3964266.780444,8482977.0939565,8132988.2145815,0,0
562.5,37.5,4432674.3352345,3964192.3556723,8483749.9545159,8132951.2343589,0,0
600,37.5,4432570.8696125,3964084.621034,8484471.2154116,8132880.2199188,0,0
637.5,37.5,4432415.8297476,3963968.3128135,8485129.5775714,8132833.7878145,0,0
675,37.5,4432229.4578319,3963842.3587791,8485763.6429928,8132856.4305773,0,0
712.5,37.5,4432046.4048051,3963683.3704018,8486341.7950287,8132979.9342035,0,0
750,37.5,4431885.512147,3963498.4130509,8486843.9250629,8133187.404935,0,0
787.5,37.5,4431740.1926145,3963302.3130727,8487291.2787052,8133446.8103244,0,0
825,37.5,4431630.6056954,3963099.3160217,8487712.8126684,8133718.5592632,0,0
862.5,37.5,4431573.0156334,3962868.766028,8488123.6079312,8134002.9821307,0,0
900,37.5,4431563.2996359,3962615.0193394,8488511.6843497,8134292.976668,0,0
937.5,37.5,4431588.3678024,3962307.9970529,8488877.1746421,8134603.6650349,0,0
975,37.5,4431599.1118078,3961966.8411974,8489226.9215787,8134954.3065693,0,0
1012.5,37.5,4431572.1110841,3961606.2412432,8489579.6446136,8135332.6950606,0,0
1050,37.5,4431524.8740336,3961212.4556352,8489942.7414542,8135726.5041283,0,0
1087.5,37.5,4431471.7480568,3960787.0821902,8490289.5018496,8136140.6362607,0,0
1125,37.5,4431447.0356634,3960319.6283011,8490604.5832679,8136561.8317213,0,0
1162.5,37.5,4431439.5952412,3959824.6797251,8490892.3533329,8136997.165327,0,0
1200,37.5,4431462.660113,3959331.7137145,8491149.1152212,8137424.0732143,0,0
1237.5,37.5,4431527.7684027,3958835.2639507,8491368.5588342,8137872.3965668,0,0
1275,37.5,4431594.0554945,3958313.4688837,8491574.6091019,8138367.1694386,0,0
1312.5,37.5,4431662.3583203,3957768.3967313,8491791.7895555,8138863.1458482,0,0
1350,37.5,4431748.0384565,3957204.3311998,8492046.7255082,8139310.1207442,0,0
1387.5,37.5,4431851.0087558,3956627.7662421,8492318.294226,8139707.52928,0,0
1425,37.5,4431963.2785529,3956066.8715975,8492568.3671551,8140077.7317121,0,0
1462.5,37.5,4432079.1904275,3955530.7938041,8492798.0375581,8140419.6676794,0,0
1500,37.5,4432192.166054,3955020.5116212,8493005.0092105,8140741.7898121,0,0
1537.5,37.5,4432315.6467935,3954532.5524707,8493183.7811623,8141051.4262307,0,0
1575,37.5,4432450.3119541,3954087.3239035,8493330.9327753,8141332.0634403,0,0
1612.5,37.5,4432592.9994554,3953713.0027348,8493458.9218894,8141554.0373103,0,0
1650,37.5,4432749.0794492,3953395.3105816,8493580.1567145,8141730.721469,0,0
1687.5,37.5,4432917.6962973,3953102.5308618,8493698.195346,8141891.3334772,0,0
1725,37.5,4433092.300922,3952820.6228061,8493820.5190948,8142032.2632058,0,0
1762.5,37.5,4433259.9119459,3952535.9375169,8493954.1342323,8142145.4915365,0,0
1800,37.5,4433417.9380616,3952248.4445559,8494106.8699861,8142227.6630914,0,0
1837.5,37.5,4433601.9748339,3951953.5942183,8494280.4240683,8142274.5112441,0,0
