time,avg_grain_vol,dt,gb0gb1,gb0gb2,gb0gb3,gb0gb4,gb0gb5,gb1gb2,gb1gb3,gb1gb4,gb1gb5,gb2gb3,gb2gb4,gb2gb5,gb3gb4,gb3gb5,gb4gb5,grain_tracker
15,1040898.996287,15,4048.9016227154,4449.7443009505,4024.5758295026,4265.3775724057,4496.7041947082,4146.1012337433,3720.9327622953,3961.7345051984,4193.0611275009,4121.7754405304,4362.5771834335,4593.903805736,3937.4087119855,4168.735334288,4409.5370771911,6
30,1040767.8269419,15,4023.3519164028,4421.2434315039,3999.0747235207,4240.4537469404,4466.3919504399,4116.8646345216,3694.6959265384,3936.0749499582,4162.0131534577,4092.5874416395,4333.9664650593,4559.9046685588,3911.7977570761,4137.7359605756,4379.1149839953,6
45,1040774.1307936,15,4025.3844532259,4423.8303686657,4001.3160730716,4245.3259453268,4470.5612368308,4116.1430913003,3693.6287957061,3937.6386679614,4162.8739594654,4092.074711146,4336.0845834012,4561.3198749052,3913.570287807,4138.8055793111,4382.8154515663,6
60,1040785.9652981,15,4024.830444778,4423.9891958471,4002.0653406223,4246.9783350249,4471.7587704421,4114.2761507514,3692.3522955266,3937.2652899292,4162.0457253464,4091.5110465957,4336.4240409983,4561.2044764155,3914.5001857735,4139.2806211907,4384.1936155933,6
90,1040800.4512218,30,4022.5464120004,4423.5035917057,4000.533030359,4246.5665055555,4470.3524270282,4111.5932772554,3688.6227159087,3934.6561911052,4158.4421125778,4089.579895614,4335.6133708105,4559.3992922831,3912.6428094638,4136.4287309364,4382.4622061329,6
105,1040796.8719185,15,4021.7352479637,4423.5150665886,3999.6770964258,4246.4580574127,4469.254188013,4110.6951927138,3686.857222551,3933.6381835379,4156.4343141382,4088.6370411759,4335.4180021628,4558.2141327632,3911.580032,4134.3761626003,4381.1571235872,6
120,1040799.844364,15,4021.3527434065,4423.5352875182,3998.9806412882,4246.5743233407,4468.2645040564,4110.1286169612,3685.5739707312,3933.1676527838,4154.8578334994,4087.7565148429,4335.3501968955,4557.0403776111,3910.7955506655,4132.4857313811,4380.0794134337,6
135,1040805.2427989,15,4021.4335096984,4423.3181399984,3997.7472608001,4247.0428920993,4466.6309312452,4109.9737874049,3684.4029082066,3933.6985395058,4153.2865786517,4086.2875385065,4335.5831698058,4555.1712089516,3910.0122906075,4129.6003297533,4378.8959610526,6
150,1040808.2721549,15,4021.1899365649,4422.5893359344,3995.8371018703,4248.2160501496,4464.5073143678,4109.6360914055,3682.8838573414,3935.2628056206,4151.5540698389,4084.2832567109,4336.6622049902,4552.9534692084,3909.9099709261,4126.2012351443,4378.5801834236,6
165,1040795.4391221,15,4020.4690513795,4420.8690551529,3994.6657621953,4249.0798263401,4463.2860417111,4108.0345129999,3681.8312200423,3936.2452841871,4150.4514995581,4082.2312238157,4336.6452879605,4550.8515033314,3910.4419950029,4124.6482103739,4379.0622745187,6
195,1040790.6768885,30,4020.0324050988,4417.5434054981,3995.4958278449,4250.5205665129,4463.5438404916,4102.6247742662,3680.577196613,3935.601935281,4148.6252092596,4078.0881970122,4333.1129356802,4546.1362096589,3911.0653580271,4124.0886320057,4379.1133706737,6
210,1040799.0564524,15,4019.9682216678,4417.2514093794,3996.4476855264,4251.1002840495,4463.8071499454,4100.6164887909,3679.8127649379,3934.4653634611,4147.172229357,4077.0959526495,4331.7485511726,4544.4554170685,3910.9448273196,4123.6516932155,4378.3042917387,6
240,1040795.2869369,30,4018.9872319443,4417.0621050555,3997.0622752846,4251.2047940393,4463.4654250575,4098.1836291971,3678.1837994262,3932.3263181809,4144.5869491992,4076.2586725374,4330.4011912921,4542.6618223104,3910.4013615212,4122.6619925395,4376.8045112942,6
270,1040798.6160324,30,4018.0178717893,4416.7486627666,3997.0595488227,4251.1209298605,4463.0089499038,4096.3683246856,3676.6792107418,3930.7405917795,4142.6286118229,4075.410001719,4329.4713827568,4541.3594028001,3909.7822688129,4121.6702888563,4375.731669894,6
300,1040792.037633,30,4017.1322832404,4415.9344922812,3996.9783904338,4251.2145793743,4462.9598123096,4094.1885004759,3675.2323986285,3929.4685875689,4141.2138205042,4074.0346076693,4328.2707966097,4540.016029545,3909.3146947623,4121.0599276977,4375.2961166381,6
315,1040795.1311992,15,4016.6189183815,4415.4256815728,3996.782609193,4251.2424437734,4462.959156135,4093.1497262278,3674.5066538481,3928.9664884284,4140.68320079,4073.3134170394,4327.7732516198,4539.4899639814,3909.13017924,4120.8468916016,4375.3067261819,6
330,1040801.669767,15,4015.9678694005,4414.879970615,3996.521091641,4251.2933482867,4462.7953133747,4092.0708840737,3673.7120050996,3928.4842617453,4139.9862268334,4072.6241063141,4327.3963629598,4538.8983280478,3909.0374839857,4120.5394490738,4375.3117057195,6
337.5,1040802.2977503,7.5,4015.5073154934,4414.6207482927,3996.4042957928,4251.4016293577,4462.7011328324,4091.3749374875,3673.1584849875,3928.1558185525,4139.4553220271,4072.2719177869,4327.2692513518,4538.5687548265,3909.0527988519,4120.3523023265,4375.3496358915,6
345,1040802.6210405,7.5,4014.6582005406,4414.5174392435,3996.4582631247,4251.7295756061,4462.7759493087,4090.064086875,3672.0049107562,3927.2762232376,4138.3225969402,4071.8641494592,4327.1354619405,4538.1818356431,3909.0762858218,4120.1226595244,4375.3939720057,6
360,1040796.6201414,15,4014.1118752637,4415.0039491692,3997.2496341566,4253.0589788977,4463.6160779411,4087.7433221932,3669.9890071806,3925.7983519217,4136.3554509652,4070.8810810861,4326.6904258271,4537.2475248706,3908.9361108146,4119.4932098581,4375.3025545991,6
