# gr0gr1_gb gr0gr2_gb gr0gr3_gb gr1gr2_gb gr1gr3_gb gr2gr3_gb total
10 10 0 20 10 10 60
30 30 30 30 30 30 180
45 45 40 50 45 45 270
60 60 50 70 60 60 360
70 65 55 80 70 65 405
70 60 60 70 70 60 390
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
70 60 70 60 70 60 390
70 65 75 60 70 65 405
65 60 65 60 65 60 375
65 60 65 60 65 60 375
65 65 70 60 65 65 390
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 70 50 60 60 360
55 60 65 50 55 60 345
50 55 65 40 50 55 315
55 60 65 50 55 60 345
55 60 65 50 55 60 345
60 65 65 60 60 65 375
60 65 65 60 60 65 375
60 65 65 60 60 65 375
60 65 65 60 60 65 375
60 65 65 60 60 65 375
55 65 60 60 55 65 360
55 65 60 60 55 65 360
55 65 60 60 55 65 360
60 70 60 70 60 70 390
60 70 60 70 60 70 390
55 65 60 60 55 65 360
60 65 65 60 60 65 375
60 65 65 60 60 65 375
60 65 65 60 60 65 375
60 65 65 60 60 65 375
55 60 65 50 55 60 345
50 55 55 50 50 55 315
55 60 55 60 55 60 345
50 55 55 50 50 55 315
50 55 55 50 50 55 315
50 55 55 50 50 55 315
45 50 45 50 45 50 285
45 50 45 50 45 50 285
50 55 45 60 50 55 315
45 50 45 50 45 50 285
50 50 50 50 50 50 300
55 50 55 50 55 50 315
55 50 55 50 55 50 315
55 50 55 50 55 50 315
60 50 60 50 60 50 330
60 50 60 50 60 50 330
60 50 60 50 60 50 330
60 50 60 50 60 50 330
60 50 60 50 60 50 330
60 50 60 50 60 50 330
60 50 60 50 60 50 330
60 50 60 50 60 50 330
60 50 60 50 60 50 330
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
65 55 60 60 65 55 360
70 60 70 60 70 60 390
70 60 70 60 70 60 390
70 60 70 60 70 60 390
70 65 75 60 70 65 405
70 65 75 60 70 65 405
70 65 75 60 70 65 405
70 65 75 60 70 65 405
70 65 75 60 70 65 405
70 65 75 60 70 65 405
70 70 80 60 70 70 420
60 60 70 50 60 60 360
60 60 70 50 60 60 360
60 60 70 50 60 60 360
60 60 70 50 60 60 360
60 60 70 50 60 60 360
55 55 70 45 60 60 345
55 55 70 45 60 60 345
50 50 60 45 55 55 315
50 50 60 40 50 50 300
50 50 60 40 50 50 300
45 50 55 40 45 50 285
45 50 55 40 45 50 285
45 50 55 40 45 50 285
45 50 55 40 45 50 285
45 50 55 40 45 50 285
45 50 55 40 45 50 285
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
50 55 65 40 50 55 315
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
55 60 65 50 55 60 345
50 60 60 50 50 60 330
50 60 60 50 50 60 330
50 60 60 50 50 60 330
50 60 60 50 50 60 330
50 60 60 50 50 60 330
50 60 60 50 50 60 330
50 60 60 50 50 60 330
55 65 60 55 50 60 345
55 65 60 55 50 60 345
55 65 60 55 50 60 345
55 65 60 55 50 60 345
55 65 60 55 50 60 345
55 65 60 55 50 60 345
55 70 65 55 50 65 360
55 70 65 55 50 65 360
55 70 65 55 50 65 360
60 70 70 55 55 65 375
60 70 70 55 55 65 375
60 70 70 55 55 65 375
60 70 70 55 55 65 375
60 70 70 55 55 65 375
60 70 70 55 55 65 375
60 70 70 55 55 65 375
65 75 70 65 60 70 405
65 75 70 65 60 70 405
65 75 70 65 60 70 405
65 75 70 65 60 70 405
65 75 70 65 60 70 405
65 75 70 65 60 70 405
65 75 70 65 60 70 405
65 70 65 65 60 65 390
65 70 65 65 60 65 390
65 70 65 65 60 65 390
65 70 65 65 60 65 390
65 70 65 65 60 65 390
60 70 60 65 55 65 375
60 70 60 65 55 65 375
60 70 60 65 55 65 375
60 70 60 65 55 65 375
60 65 55 65 55 60 360
60 65 55 65 55 60 360
60 65 55 65 55 60 360
60 65 55 65 55 60 360
60 65 55 65 55 60 360
60 65 55 65 55 60 360
60 65 55 65 55 60 360
60 65 55 65 55 60 360
55 65 50 65 50 60 345
55 60 45 65 50 55 330
55 60 45 70 55 60 345
55 60 45 70 55 60 345
