# Step gr0 gr1 gr2 gr3 
500 59525 16550 57975 82325
600 59500 16450 57950 82225
700 59525 16475 57950 82250
800 59550 16550 57975 82325
900 59625 16525 58025 82325
1000 59650 16450 58025 82325
1100 59750 16350 58025 82300
1200 59825 16350 58100 82275
1300 59800 16350 58100 82275
1400 59900 16350 58025 82275
1500 59925 16325 58100 82275
1600 60000 16300 58100 82300
1700 60075 16300 58050 82400
1800 60100 16250 58050 82400
1900 60125 16275 58125 82400
2000 60175 16200 58175 82400
2100 60225 16225 58175 82425
2200 60225 16250 58175 82425
2300 60325 16250 58175 82425
2400 60375 16250 58200 82450
2500 60400 16225 58175 82450
2600 60425 16225 58175 82450
2700 60475 16200 58175 82450
2800 60525 16175 58175 82500
2900 60550 16175 58200 82475
3000 60600 16175 58200 82500
3100 60600 16200 58250 82500
3200 60600 16175 58250 82475
3300 60625 16175 58250 82475
3400 60700 16125 58275 82525
3500 60725 16125 58275 82525
3600 60700 16100 58325 82500
3700 60725 16100 58350 82500
3800 60750 16100 58350 82500
3900 60775 16025 58400 82500
4000 60775 16000 58400 82525
4100 60825 15975 58350 82525
4200 60825 15925 58350 82550
4300 60875 15900 58350 82600
4400 60875 15950 58350 82600
4500 60850 15975 58350 82600
4600 60875 15925 58350 82650
4700 60875 15925 58375 82650
4800 60900 15900 58400 82650
4900 60950 15900 58400 82650
5000 60950 15900 58400 82650
5100 61000 15925 58375 82650
5200 61000 15925 58375 82650
5300 61050 15925 58400 82650
5400 61100 15925 58375 82700
5500 61100 15925 58375 82700
5600 61100 15975 58375 82700
5700 61100 15950 58400 82700
5800 61100 15975 58400 82700
5900 61100 15975 58400 82700
6000 61100 15975 58400 82725
6100 61100 15950 58400 82725
6200 61100 16000 58375 82725
6300 61125 16000 58400 82725
6400 61150 16025 58400 82725
6500 61175 16050 58400 82750
6600 61200 16075 58400 82750
6700 61200 16075 58450 82800
6800 61200 16075 58400 82800
6900 61225 16025 58375 82800
7000 61175 15975 58350 82775
7100 61200 15975 58350 82775
7200 61200 15950 58325 82750
7300 61225 15950 58275 82750
7400 61225 15950 58275 82750
7500 61225 15925 58275 82750
7600 61250 15900 58275 82725
7700 61250 15875 58275 82725
7800 61300 15875 58300 82750
7900 61350 15875 58325 82750
8000 61300 15875 58350 82750
8100 61300 15850 58350 82725
8200 61300 15825 58350 82725
8300 61300 15825 58350 82700
8400 61350 15825 58350 82700
8500 61350 15775 58350 82700
8600 61350 15750 58350 82675
8700 61375 15750 58375 82675
8800 61375 15725 58350 82675
8900 61375 15725 58375 82675
9000 61400 15725 58375 82700
9100 61425 15700 58350 82700
9200 61425 15700 58350 82675
9300 61450 15700 58350 82700
9400 61450 15675 58350 82700
9500 61450 15650 58375 82725
9600 61450 15650 58350 82725
9700 61475 15650 58350 82700
9800 61475 15650 58350 82700
9900 61475 15650 58350 82750
10000 61475 15625 58375 82750
10100 61500 15625 58400 82775
10200 61525 15625 58400 82775
