# Step gr0 gr1 gr2 gr3 
500 59575 16450 57975 82425
600 59650 16400 58050 82375
700 59900 16400 58100 82350
800 60000 16350 58200 82375
900 60125 16300 58225 82425
1000 60225 16225 58300 82425
1100 60375 16250 58325 82400
1200 60400 16150 58325 82375
1300 60525 16150 58350 82375
1400 60575 16075 58375 82375
1500 60650 16125 58375 82375
1600 60700 16050 58450 82400
1700 60750 16050 58550 82450
1800 60825 16000 58550 82450
1900 60925 16000 58525 82450
2000 60950 15975 58525 82450
2100 61050 15975 58525 82475
2200 61100 15975 58600 82475
2300 61125 15975 58600 82475
2400 61175 16000 58625 82475
2500 61225 16000 58650 82550
2600 61250 15950 58700 82550
2700 61325 15950 58700 82550
2800 61300 15900 58750 82550
2900 61375 15925 58750 82550
3000 61525 15875 58800 82575
3100 61600 15750 58800 82575
3200 61675 15750 58825 82575
3300 61750 15750 58775 82575
3400 61775 15750 58750 82600
3500 61775 15700 58725 82650
3600 61800 15675 58750 82625
3700 61800 15675 58725 82675
3800 61800 15675 58750 82725
3900 61825 15675 58750 82725
4000 61825 15700 58775 82675
4100 61850 15700 58775 82675
4200 61875 15700 58800 82675
4300 61875 15675 58800 82700
4400 61850 15625 58825 82700
4500 61900 15625 58775 82700
4600 61800 15600 58775 82675
4700 61825 15625 58775 82700
4800 61825 15600 58750 82700
4900 61875 15600 58750 82750
5000 61925 15575 58800 82750
5100 61925 15600 58800 82750
5200 61925 15625 58800 82750
5300 61925 15600 58800 82750
5400 62025 15575 58825 82750
5500 62025 15550 58775 82750
5600 62050 15575 58750 82775
5700 62075 15500 58725 82775
5800 62100 15550 58725 82775
5900 62125 15550 58725 82800
6000 62125 15550 58725 82800
6100 62125 15525 58675 82800
6200 62100 15550 58675 82800
6300 62100 15550 58650 82775
6400 62100 15575 58675 82775
6500 62100 15625 58675 82775
6600 62100 15725 58675 82775
6700 62100 15700 58700 82775
6800 62125 15700 58600 82775
6900 62125 15675 58575 82750
7000 62150 15625 58575 82725
7100 62150 15600 58525 82725
7200 62150 15600 58525 82725
7300 62175 15600 58550 82725
7400 62200 15600 58550 82700
7500 62225 15550 58550 82650
7600 62250 15550 58550 82625
7700 62250 15525 58550 82675
7800 62250 15525 58550 82675
7900 62250 15525 58550 82675
8000 62300 15525 58525 82675
8100 62325 15475 58525 82675
8200 62325 15475 58525 82675
8300 62375 15475 58550 82675
8400 62400 15450 58550 82700
8500 62425 15450 58500 82725
8600 62425 15425 58500 82725
8700 62425 15400 58525 82725
8800 62425 15375 58525 82725
8900 62425 15350 58500 82800
9000 62425 15350 58500 82800
9100 62425 15300 58525 82800
9200 62450 15300 58525 82800
9300 62425 15300 58425 82850
9400 62450 15300 58375 82850
9500 62450 15275 58350 82850
9600 62450 15275 58300 82900
9700 62475 15275 58300 82900
9800 62500 15275 58275 82925
9900 62500 15275 58275 82950
10000 62500 15275 58225 82975
10100 62500 15250 58200 83025
10200 62500 15250 58175 83050
10300 62400 15225 58200 83100
10400 62400 15225 58175 83125
10500 62450 15200 58150 83125
10600 62450 15175 58150 83125
10700 62450 15175 58125 83125
10800 62450 15175 58100 83100
10900 62400 15125 58025 83125
11000 62425 15100 57950 83125
11100 62425 15100 57900 83125
11200 62425 15100 57800 83150
11300 62425 15050 57650 83150
11400 62450 15050 57425 83125
11500 62450 15050 57225 83125
11600 62450 15050 57225 83100
11700 62450 15050 57225 83100
11800 62475 15050 57225 83125
11900 62475 15025 57225 83150
12000 62475 15000 57225 83150
12100 62475 15000 57225 83150
12200 62475 14975 57200 83150
12300 62500 14950 57250 83125
12400 62500 14950 57225 83125
12500 62525 14950 57275 83100
12600 62525 14950 57250 83100
12700 62525 14900 57250 83100
12800 62525 14900 57275 83100
12900 62525 14875 57275 83100
13000 62525 14875 57250 83075
13100 62525 14875 57250 83075
13200 62525 14875 57250 83075
13300 62525 14875 57250 83050
13400 62525 14875 57250 83100
13500 62525 14875 57250 83100
13600 62525 14875 57250 83100
13700 62525 14875 57250 83125
13800 62525 14875 57250 83150
13900 62550 14875 57225 83150
14000 62550 14850 57225 83175
14100 62525 14850 57175 83175
14200 62525 14850 57175 83175
14300 62475 14850 57150 83175
14400 62475 14850 57125 83175
14500 62475 14850 57125 83150
14600 62475 14850 57125 83125
14700 62475 14850 57150 83125
14800 62475 14850 57150 83125
14900 62475 14825 57100 83075
15000 62525 14825 57100 83050
15100 62550 14800 57100 83050
