# Step gr0 gr1 gr2 gr3 
500 45675 103175 43825 23000
600 45575 103175 43775 23000
700 45575 103200 43725 22950
800 45600 103275 43725 22975
900 45625 103275 43725 22975
1000 45600 103350 43825 22975
1100 45625 103350 43825 23025
1200 45625 103400 43775 23075
1300 45625 103450 43775 23075
1400 45625 103475 43775 23100
1500 45575 103500 43825 23125
1600 45625 103525 43825 23125
1700 45575 103500 43825 23125
1800 45600 103650 43825 23150
1900 45650 103700 43875 23175
2000 45625 103675 43925 23175
2100 45650 103700 43875 23125
2200 45600 103725 43875 23150
2300 45550 103750 43875 23150
2400 45425 103850 43875 23175
2500 45500 103850 43875 23175
2600 45500 103825 43925 23175
2700 45475 103900 43875 23200
2800 45500 103925 43875 23200
2900 45425 103875 43875 23225
3000 45400 103800 43925 23275
3100 45425 103750 43875 23275
3200 45425 103750 43925 23300
3300 45450 103825 43975 23375
3400 45375 103975 43975 23375
3500 45400 104075 43975 23300
3600 45375 104150 44025 23300
3700 45375 104150 44025 23300
3800 45325 104125 44025 23375
3900 45325 104175 43975 23375
4000 45350 104200 43925 23375
4100 45400 104175 43925 23400
4200 45400 104225 43975 23350
4300 45425 104300 43975 23350
4400 45450 104325 43975 23375
4500 45375 104350 43975 23425
4600 45375 104350 43925 23375
4700 45375 104325 43875 23350
4800 45325 104400 43975 23350
4900 45300 104375 44025 23350
5000 45250 104375 44025 23350
5100 45200 104375 44075 23375
5200 45200 104400 44075 23375
5300 45125 104475 44075 23425
5400 45125 104475 44075 23425
5500 45125 104400 44075 23450
5600 45125 104425 44075 23450
5700 45100 104425 44025 23450
5800 45075 104425 44025 23475
5900 45075 104450 43975 23475
6000 45075 104475 44000 23475
6100 45050 104575 44175 23450
6200 44975 104600 44175 23475
6300 44925 104600 44175 23500
6400 44975 104675 44175 23500
6500 45000 104675 44125 23500
6600 45050 104775 44175 23525
6700 45050 104825 44175 23525
6800 45125 104875 44175 23525
6900 45100 104875 44225 23525
7000 45100 104925 44225 23525
7100 45125 104950 44275 23600
7200 45125 105025 44300 23600
7300 45100 105050 44250 23600
7400 45075 105050 44250 23625
7500 45050 105025 44250 23625
7600 45025 105050 44250 23575
