# Step gr0 gr1 gr2 gr3
500 65250 60575 58425 62050
600 64875 59675 57475 60875
700 64675 59675 57425 60675
800 64300 59625 57375 60275
900 64125 59475 57100 60000
1000 64100 59200 56825 59525
1100 63975 59150 56750 59525
1200 63600 59100 56450 59450
1300 62650 59100 55350 59450
1400 62575 58975 55175 59275
1500 62525 58950 55050 59125
1600 62425 58525 54675 58800
1700 62375 58525 54600 58800
1800 62325 58550 54600 58725
1900 62325 58550 54575 58700
2000 62300 58550 54575 58700
2100 62300 58575 54550 58675
2200 62300 58600 54550 58675
2300 62275 58600 54550 58675
2400 62200 58625 54525 58625
2500 62200 58650 54525 58625
2600 62175 58625 54525 58600
2700 62175 58550 54450 58375
2800 62175 58500 54450 58375
2900 62200 58500 54375 58275
3000 62175 58550 54375 58250
3100 62200 58500 54375 58250
3200 62200 58500 54375 58250
3300 62175 58475 54375 58250
3400 62175 58450 54375 58250
3500 62175 58425 54375 58250
3600 62175 58425 54375 58250
3700 62175 58425 54325 58250
3800 62175 58425 54325 58250
3900 62175 58400 54325 58250
4000 62150 58400 54325 58225
4100 62150 58400 54325 58225
4200 62125 58350 54325 58100
4300 62150 58350 54250 58025
4400 62100 58350 54225 57975
4500 62075 58350 54225 57975
4600 62050 58350 54225 57975
4700 62050 58375 54225 57950
4800 62075 58375 54225 57950
4900 62075 58375 54200 57925
5000 62075 58375 54175 57900
5100 62050 58375 54175 57900
5200 62025 58375 54175 57900
5300 62025 58400 54175 57900
5400 62025 58400 54175 57900
5500 62025 58400 54175 57900
5600 62025 58400 54175 57900
5700 62000 58400 54175 57875
5800 61975 58400 54175 57875
5900 61975 58425 54200 57875
6000 61950 58425 54200 57875
6100 61950 58425 54200 57875
6200 61950 58425 54200 57875
6300 61925 58425 54200 57875
6400 61925 58425 54200 57875
6500 61925 58450 54200 57875
6600 61925 58475 54200 57875
6700 61925 58450 54200 57875
6800 61925 58475 54200 57900
6900 61900 58475 54200 57900
7000 61900 58475 54200 57900
7100 61900 58500 54200 57900
7200 61900 58500 54200 57900
7300 61875 58500 54200 57900
7400 61850 58500 54200 57900
7500 61825 58500 54200 57900
7600 61850 58500 54200 57900
7700 61850 58525 54200 57900
7800 61850 58525 54225 57925
7900 61850 58525 54250 57925
8000 61850 58550 54250 57925
8100 61850 58575 54250 57925
8200 61850 58600 54250 57925
8300 61850 58600 54225 57925
8400 61825 58600 54225 57925
8500 61825 58600 54225 57925
8600 61825 58575 54225 57900
8700 61825 58600 54225 57900
8800 61825 58600 54225 57900
8900 61825 58600 54225 57900
9000 61825 58600 54225 57900
9100 61825 58600 54225 57900
9200 61825 58600 54225 57925
9300 61850 58600 54225 57925
9400 61825 58600 54225 57925
9500 61825 58600 54225 57925
9600 61825 58575 54225 57925
9700 61850 58575 54225 57925
9800 61850 58600 54225 57925
9900 61850 58575 54225 57925
10000 61850 58575 54225 57925
10100 61850 58550 54225 57900
10200 61850 58550 54225 57900
10300 61850 58575 54225 57900
10400 61850 58575 54225 57900
10500 61850 58575 54200 57900
10600 61825 58550 54200 57900
10700 61825 58550 54200 57900
10800 61825 58550 54200 57900
10900 61825 58550 54175 57900
11000 61800 58575 54175 57900
11100 61800 58575 54175 57875
11200 61775 58575 54175 57875
11300 61775 58575 54200 57875
11400 61775 58575 54175 57875
11500 61775 58575 54175 57875
11600 61775 58600 54175 57850
11700 61775 58625 54150 57850
11800 61750 58650 54150 57850
11900 61750 58650 54150 57850
12000 61750 58650 54125 57875
12100 61750 58650 54125 57875
12200 61750 58675 54125 57875
12300 61750 58675 54125 57875
12400 61750 58675 54125 57875
12500 61750 58675 54125 57875
12600 61750 58675 54125 57875
12700 61750 58675 54150 57875
12800 61750 58700 54150 57875
12900 61750 58700 54150 57875
13000 61775 58700 54150 57875
13100 61775 58700 54175 57875
13200 61725 58675 54175 57900
13300 61725 58700 54175 57900
13400 61725 58700 54200 57900
13500 61725 58700 54200 57900
13600 61725 58725 54200 57900
13700 61725 58725 54200 57900
13800 61725 58700 54200 57900
13900 61700 58700 54200 57900
14000 61700 58700 54200 57900
14100 61700 58700 54200 57900
14200 61700 58700 54200 57900
14300 61700 58700 54200 57900
14400 61700 58700 54200 57900
14500 61700 58725 54200 57900
14600 61700 58725 54200 57900
14700 61650 58725 54200 57900
14800 61650 58750 54200 57900
14900 61650 58750 54200 57900
15000 61650 58750 54200 57925
15100 61650 58750 54200 57925
15200 61650 58775 54200 57925
15300 61650 58800 54200 57925
15400 61650 58825 54200 57925
15500 61650 58825 54200 57925
15600 61650 58825 54200 57925
15700 61650 58825 54200 57925
15800 61650 58825 54200 57950
15900 61650 58825 54200 57950
16000 61625 58825 54200 57975
16100 61650 58800 54200 57975
16200 61650 58800 54200 58000
16300 61650 58800 54200 58000
16400 61625 58825 54200 58000
16500 61650 58825 54200 58000
16600 61650 58800 54200 57975
16700 61650 58800 54200 57975
16800 61650 58800 54200 57975
16900 61650 58800 54200 57975
17000 61650 58800 54200 57975
17100 61650 58800 54200 57975
17200 61650 58800 54200 57975
17300 61650 58800 54200 57975
17400 61650 58800 54200 58000
17500 61650 58800 54200 58000
17600 61675 58800 54200 58025
17700 61675 58825 54200 58025
17800 61675 58825 54200 58025
17900 61650 58825 54200 58025
18000 61650 58825 54200 58025
18100 61650 58825 54200 58025
18200 61650 58825 54200 58050
18300 61650 58825 54225 58050
18400 61650 58775 54225 58050
