# Step gr0 gr1 gr2 gr3 
500 45850 107075 45875 26500
600 45750 107100 45875 26475
700 45675 107125 45925 26475
800 45500 107275 46025 26425
900 45450 107200 46125 26425
1000 45375 107200 45950 26075
1100 45225 107000 45700 26025
1200 45150 107000 45700 26025
1300 45025 107075 45650 25950
1400 45025 106975 45650 25925
1500 44875 107000 45650 25925
1600 44775 107000 45700 25925
1700 44725 106825 45500 25925
1800 44650 106825 45500 25925
1900 44475 106800 45600 25875
2000 44375 106850 45650 25875
2100 44175 106875 45750 25875
2200 44050 106800 45600 25875
2300 44050 106825 45650 25875
2400 43850 106850 45700 25875
2500 43825 106800 45800 25825
2600 43775 106725 45750 25775
2700 43700 106625 45875 25775
2800 43675 106425 45725 25675
2900 43625 104650 45675 23675
3000 43550 104675 45625 23650
3100 43500 104700 45625 23625
3200 43450 104725 45625 23500
3300 43325 104750 45625 23425
3400 43300 104850 45625 23425
3500 43175 104900 45625 23400
3600 43150 104900 45625 23400
3700 42975 104900 45675 23400
3800 42750 104900 45775 23400
3900 42750 104950 45825 23350
4000 42750 104975 45875 23350
4100 42725 104900 45825 23300
4200 42625 104925 45775 23300
4300 42625 105000 45875 23300
4400 42600 105025 45975 23300
4500 42550 105050 46050 23300
4600 42450 105050 46050 23300
4700 42350 105075 46050 23250
4800 42350 105075 46050 23250
4900 42325 105150 46050 23250
5000 42250 105225 46050 23250
5100 42200 105300 46050 23250
5200 42175 105350 46050 23225
5300 42075 105350 46050 23200
5400 41975 105350 46050 23200
5500 41850 105350 46050 23200
5600 41650 105375 46050 23200
5700 41550 105425 46025 23200
5800 41475 105375 46150 23200
5900 41425 105400 46200 23200
6000 41375 105425 46250 23200
6100 41375 105475 46300 23200
6200 41375 105550 46375 23225
6300 41350 105575 46500 23225
6400 41300 105625 46575 23225
6500 41275 105650 46575 23225
6600 41200 105675 46575 23225
6700 41150 105675 46575 23225
6800 41100 105675 46575 23225
6900 41000 105700 46575 23225
7000 40925 105725 46575 23225
7100 40875 105725 46550 23225
7200 40800 105750 46525 23225
7300 40775 105750 46525 23225
7400 40700 105725 46525 23225
7500 40550 105775 46525 23225
7600 40475 105850 46525 23225
7700 40275 105975 46475 23225
7800 40250 105975 46475 23225
7900 40225 106050 46475 23225
8000 40200 106125 46625 23225
8100 40150 106175 46675 23225
8200 40150 106175 46775 23225
8300 40100 106225 46850 23225
8400 40075 106350 46925 23250
8500 40025 106375 47075 23250
8600 39975 106400 47100 23250
8700 39950 106425 47100 23250
8800 39925 106450 47100 23250
8900 39925 106500 47100 23250
9000 39900 106525 47100 23250
9100 39900 106550 47100 23250
9200 39800 106575 47100 23250
9300 39750 106600 47150 23275
9400 39675 106650 47200 23275
9500 39650 106700 47200 23275
9600 39625 106700 47250 23275
9700 39500 106725 47250 23275
9800 39450 106725 47250 23275
9900 39325 106750 47250 23275
10000 39175 106850 47250 23275
10100 38975 106900 47250 23275
10200 38975 106925 47250 23275
10300 38950 106925 47250 23275
10400 38925 106925 47250 23275
10500 38900 106925 47250 23275
10600 38875 107000 47325 23275
10700 38775 107050 47400 23275
10800 38725 107075 47500 23275
10900 38700 107125 47575 23275
11000 38650 107125 47650 23275
11100 38625 107125 47775 23275
11200 38625 107125 47775 23275
11300 38600 107125 47775 23275
11400 38600 107150 47775 23275
11500 38550 107225 47825 23275
11600 38525 107275 47825 23275
11700 38475 107300 47825 23275
11800 38450 107325 47825 23275
11900 38425 107325 47825 23275
12000 38425 107350 47825 23300
12100 38400 107375 47825 23300
12200 38350 107400 47825 23300
12300 38300 107425 47825 23300
12400 38300 107475 47825 23300
12500 38200 107500 47825 23300
12600 38100 107550 47825 23300
12700 37975 107550 47825 23300
12800 37900 107575 47825 23300
12900 37675 107625 47825 23300
13000 37625 107675 47825 23300
13100 37625 107700 47825 23325
13200 37575 107700 47825 23325
13300 37550 107725 47825 23325
13400 37550 107750 47825 23325
13500 37525 107850 47825 23325
13600 37500 107925 47825 23325
13700 37450 107950 47925 23325
13800 37425 107975 48025 23325
13900 37375 108025 48100 23325
14000 37375 108025 48175 23325
14100 37375 108025 48300 23325
14200 37375 108075 48300 23325
14300 37325 108125 48300 23325
14400 37300 108125 48350 23325
14500 37250 108125 48350 23325
14600 37175 108125 48350 23325
14700 37175 108125 48350 23325
14800 37175 108175 48350 23325
14900 37175 108200 48350 23325
15000 37150 108225 48350 23325
15100 37125 108225 48350 23325
15200 37075 108225 48350 23325
15300 37025 108250 48350 23325
15400 37025 108300 48350 23325
15500 36900 108350 48300 23325
15600 36875 108350 48350 23325
15700 36875 108375 48350 23325
15800 36825 108425 48350 23325
15900 36750 108450 48350 23325
16000 36700 108475 48350 23325
16100 36650 108475 48350 23325
16200 36525 108475 48350 23325
16300 36275 108475 48350 23325
16400 36200 108500 48350 23325
16500 36200 108550 48350 23325
16600 36200 108550 48350 23350
16700 36200 108575 48400 23350
16800 36175 108575 48400 23350
16900 36150 108600 48400 23350
17000 36100 108625 48375 23350
17100 36100 108625 48300 23325
17200 36100 108625 48300 23325
17300 36100 108650 48300 23300
17400 36100 108700 48350 23300
17500 36075 108725 48475 23300
17600 36025 108800 48550 23300
17700 35975 108800 48625 23300
17800 35975 108850 48725 23300
17900 35950 108850 48725 23325
18000 35850 108875 48775 23325
18100 35800 108875 48775 23325
18200 35800 108900 48775 23325
18300 35800 108900 48775 23325
18400 35775 108925 48775 23325
18500 35750 108925 48775 23325
18600 35750 108925 48825 23325
18700 35725 108925 48825 23325
18800 35700 108975 48825 23325
18900 35675 109025 48825 23325
19000 35675 109075 48825 23325
19100 35650 109100 48825 23325
19200 35650 109100 48825 23325
19300 35650 109100 48825 23325
19400 35600 109100 48825 23325
19500 35575 109125 48825 23325
19600 35575 109175 48875 23325
19700 35525 109200 48875 23325
19800 35525 109225 48875 23325
19900 35500 109275 48875 23325
20000 35450 109300 48875 23325
20100 35450 109325 48875 23325
20200 35425 109350 48875 23325
20300 35350 109400 48875 23325
20400 35275 109400 48875 23325
20500 35175 109400 48875 23325
20600 35000 109400 48875 23275
20700 34950 109425 48875 23275
20800 34850 109450 48875 23275
20900 34850 109475 48875 23225
21000 34825 109500 48875 23225
21100 34800 109550 48875 23225
21200 34725 109550 48875 23225
21300 34725 109550 48900 23225
21400 34725 109575 48900 23225
21500 34725 109600 48900 23225
21600 34725 109600 48900 23225
21700 34725 109600 48900 23225
21800 34675 109600 48900 23225
21900 34650 109625 48900 23225
22000 34650 109675 48900 23225
22100 34625 109675 48925 23225
22200 34625 109700 49025 23225
22300 34625 109725 49125 23225
22400 34625 109775 49225 23225
22500 34600 109775 49350 23225
22600 34575 109800 49350 23250
22700 34575 109825 49400 23250
22800 34575 109825 49400 23250
22900 34575 109850 49400 23250
23000 34575 109875 49400 23250
23100 34550 109875 49400 23250
23200 34525 109875 49400 23250
23300 34525 109900 49400 23250
23400 34525 109900 49400 23250
23500 34525 109925 49400 23250
23600 34500 110000 49400 23250
23700 34450 110025 49400 23250
23800 34450 110025 49400 23250
23900 34450 110025 49400 23250
24000 34400 110025 49400 23250
24100 34350 110025 49400 23250
24200 34275 110050 49400 23275
24300 34250 110050 49400 23275
24400 34250 110125 49400 23275
