# gr0gr1_gb gr0gr2_gb gr0gr3_gb gr1gr2_gb gr1gr3_gb gr2gr3_gb total
15 15 0 30 15 15 90
20 20 0 35 15 15 105
20 20 0 35 15 15 105
25 25 0 40 15 15 120
25 25 0 40 15 15 120
25 25 0 40 15 15 120
25 25 0 40 15 15 120
25 25 0 45 20 20 135
30 30 0 50 20 20 150
30 30 0 50 20 20 150
30 30 0 50 20 20 150
30 30 0 50 20 20 150
30 30 0 50 20 20 150
30 30 0 50 20 20 150
35 35 0 55 20 20 165
35 35 0 55 20 20 165
35 35 0 55 20 20 165
35 35 0 55 20 20 165
35 35 0 55 20 20 165
35 35 0 55 20 20 165
35 35 0 55 20 20 165
30 30 0 50 20 20 150
30 30 0 50 20 20 150
30 30 0 50 20 20 150
30 30 0 55 25 25 165
30 30 0 55 25 25 165
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
35 35 0 65 30 30 195
35 35 0 65 30 30 195
35 35 0 70 35 35 210
35 35 0 70 35 35 210
35 35 0 70 35 35 210
35 35 0 70 35 35 210
35 35 0 70 35 35 210
35 35 0 70 35 35 210
35 35 0 65 30 30 195
35 35 0 65 30 30 195
35 35 0 65 30 30 195
35 35 0 65 30 30 195
35 35 0 65 30 30 195
35 35 0 65 30 30 195
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
30 30 0 60 30 30 180
25 25 0 55 30 30 165
25 25 0 55 30 30 165
25 25 0 55 30 30 165
25 25 0 55 30 30 165
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 50 30 30 150
20 20 0 45 25 25 135
20 20 0 45 25 25 135
20 20 0 45 25 25 135
20 20 0 45 25 25 135
20 25 5 45 25 30 150
20 25 5 45 25 30 150
20 25 5 45 25 30 150
20 25 5 45 25 30 150
20 25 5 45 25 30 150
25 25 10 45 30 30 165
25 25 10 45 30 30 165
25 30 15 45 30 35 180
25 30 15 45 30 35 180
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
30 30 20 45 35 35 195
35 30 25 45 40 35 210
35 30 25 45 40 35 210
35 30 25 45 40 35 210
35 30 25 45 40 35 210
35 30 25 45 40 35 210
35 30 25 45 40 35 210
35 30 25 45 40 35 210
35 30 25 45 40 35 210
35 35 30 45 40 40 225
35 35 30 45 40 40 225
35 35 30 45 40 40 225
35 35 30 45 40 40 225
35 35 30 45 40 40 225
35 35 30 45 40 40 225
35 35 30 45 40 40 225
35 35 30 45 40 40 225
35 35 30 40 35 35 210
35 35 30 40 35 35 210
35 35 30 40 35 35 210
35 35 30 40 35 35 210
35 35 30 40 35 35 210
35 35 30 40 35 35 210
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 40 40 35 225
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 45 45 40 240
40 35 35 50 50 45 255
40 35 35 50 50 45 255
