# Step gr0 gr1 gr2 gr3 
500 62800 20575 62800 92275
600 62925 20525 62775 92275
700 63025 20375 62750 92275
800 63150 20275 62725 92275
900 63225 20250 62775 92275
1000 63350 20225 62750 92275
1100 63400 20125 62725 92275
1200 63475 20075 62725 92275
1300 63550 19925 62775 92275
1400 63700 19875 62775 92225
1500 63725 19775 62750 92225
1600 63800 19700 62725 92225
1700 63850 19675 62550 92200
1800 63850 19650 62600 92200
1900 63550 19450 62175 91500
2000 63275 19200 61675 90775
2100 63475 19125 61675 90775
2200 63625 19075 61650 90775
2300 63625 19000 61600 90725
2400 63675 18925 61575 90725
2500 63675 18900 61500 90675
2600 63700 18900 61500 90675
2700 63700 18775 61500 90550
2800 63400 18675 61150 89925
2900 63450 18650 61100 89900
3000 63500 18625 61100 89875
3100 63525 18625 61000 89875
3200 63625 18600 60975 89875
3300 63700 18500 60900 89800
3400 63700 17475 60875 88675
3500 63450 17250 60375 88050
3600 63500 17175 60400 88000
3700 63500 17150 60350 87975
3800 63575 17100 60300 87850
3900 63600 17025 60275 87775
4000 63625 17000 60275 87775
4100 63700 17000 60225 87750
4200 63725 16950 60150 87725
4300 63750 16925 60075 87725
4400 63800 16925 60025 87725
4500 63825 16900 59850 87725
4600 63825 16900 59750 87625
4700 63625 16850 59575 87075
4800 63625 16825 59525 87075
4900 63700 16775 59525 87025
5000 63700 16750 59525 87025
5100 63700 16700 59500 87025
5200 63825 16600 59550 87025
5300 63825 16600 59550 87025
5400 63875 16600 59550 86975
5500 63850 16550 59550 86975
5600 63900 16525 59525 86975
5700 63925 16525 59575 86975
5800 63950 16475 59575 86975
5900 64000 16475 59625 86975
6000 64025 16450 59700 86975
6100 64050 16450 59700 86975
6200 64075 16425 59700 86925
6300 64100 16425 59700 86875
6400 64175 16425 59700 86875
6500 64225 16400 59675 86875
6600 64250 16400 59675 86875
6700 64325 16325 59650 86875
6800 64350 16325 59650 86875
6900 64400 16325 59650 86875
7000 64525 16275 59650 86875
7100 64550 16275 59625 86875
7200 64575 16275 59625 86875
7300 64575 16250 59600 86875
7400 64600 16250 59600 86875
7500 64600 16225 59575 86875
7600 64600 16225 59575 86875
7700 64625 16200 59550 86825
7800 64625 16200 59500 86775
7900 64625 16200 59500 86775
8000 64625 16200 59475 86775
8100 64625 16200 59450 86775
8200 64625 16200 59500 86775
8300 64625 16150 59475 86775
8400 64625 16150 59450 86775
8500 64625 16125 59425 86775
8600 64625 16050 59450 86775
8700 64675 16050 59450 86775
8800 64675 16025 59400 86750
8900 64675 16000 59400 86750
9000 64650 16000 59400 86750
9100 64675 15975 59350 86750
9200 64675 15975 59350 86750
9300 64475 15975 59100 86275
9400 64475 15950 59075 86275
9500 64475 15950 59025 86225
9600 64475 15950 59000 86225
9700 64425 15875 58950 86225
9800 64475 15850 58900 86225
9900 64475 15825 58750 86200
10000 64475 15775 58700 86150
10100 64450 15725 58550 86050
10200 64475 15725 58425 86050
10300 64500 15725 58175 86000
10400 64525 15725 58150 86000
10500 64550 15700 58125 86000
10600 64550 15675 58125 86000
10700 64575 15675 58125 86000
10800 64575 15650 58075 86000
10900 64325 15625 57900 85575
11000 64325 15600 57900 85525
11100 64325 15600 57900 85525
11200 64350 15600 57900 85500
11300 64375 15600 57850 85500
11400 64375 15600 57850 85500
11500 64375 15600 57850 85500
11600 64400 15600 57850 85400
11700 64400 15600 57850 85375
11800 64450 15600 57850 85350
11900 64475 15600 57850 85350
12000 64525 15575 57850 85350
12100 64550 15575 57825 85350
12200 64575 15575 57825 85350
12300 64650 15500 57825 85350
12400 64675 15500 57825 85350
12500 64675 15500 57825 85350
12600 64675 15500 57825 85350
12700 64675 15500 57825 85350
12800 64675 15500 57825 85350
12900 64675 15500 57825 85350
13000 64650 15475 57825 85350
13100 64675 15450 57800 85325
13200 64675 15450 57800 85325
13300 64700 15450 57800 85325
13400 64700 15450 57800 85325
13500 64700 15400 57800 85325
13600 64725 15375 57800 85325
13700 64750 15350 57800 85325
13800 64700 15300 57800 85325
13900 64725 15300 57800 85325
14000 64675 15300 57800 85325
14100 64675 15275 57800 85325
14200 64675 15275 57775 85325
14300 64675 15275 57775 85325
14400 64625 15275 57775 85325
14500 64000 15275 57775 85325
14600 64025 15275 57775 85275
14700 64025 15275 57775 85275
14800 64025 15275 57775 85225
14900 64025 15275 57775 85225
15000 64025 15275 57775 85225
15100 64025 15275 57775 85225
15200 64025 15275 57775 85225
15300 64025 15250 57775 85225
