# Step junction_position active_etas junction_neighbors junction_angles
500 (6.55172,77.0115) 0 2 3 (203.283,155.455) (6.93333,420.267) (6.93333,420.267) 68.1975 8.53774e-07 291.802
---- (6.93333,420.267) 0 2 3 (6.55172,77.0115) (241.308,394.393) (203.283,155.455) 83.764 47.1445 229.091
---- (203.283,155.455) 0 1 3 (202.5,339.583) (202.5,339.583) (202.5,339.583) 0 0 360
---- (202.5,339.583) 0 1 3 (243.114,102.018) (241.308,394.393) (6.55172,77.0115) 134.998 178.568 46.4342
---- (243.114,102.018) 0 1 2 (241.308,394.393) (203.283,155.455) (6.55172,77.0115) 36.3465 59.3338 264.32
---- (241.308,394.393) 0 1 2 (6.93333,420.267) (243.114,102.018) (243.114,102.018) 96.6536 1.20742e-06 263.346
600 (6.55172,77.0115) 0 2 3 (203.317,155.545) (6.93333,420.267) (6.93333,420.267) 68.1783 8.53774e-07 291.822
---- (6.93333,420.267) 0 2 3 (6.55172,77.0115) (241.741,390.714) (203.317,155.545) 82.8903 46.2568 230.853
---- (203.317,155.545) 0 1 3 (202.5,339.583) (202.5,339.583) (202.5,339.583) 0 0 360
---- (202.5,339.583) 0 1 3 (242.222,105.972) (241.741,390.714) (6.55172,77.0115) 132.845 179.228 47.9271
---- (242.222,105.972) 0 1 2 (241.741,390.714) (203.317,155.545) (6.55172,77.0115) 38.0287 58.8802 263.091
---- (241.741,390.714) 0 1 2 (6.93333,420.267) (242.222,105.972) (242.222,105.972) 97.2702 0 262.73
700 (6.94118,77.2941) 0 2 3 (203.317,155.545) (7.39726,419.863) (7.39726,419.863) 68.1978 0 291.802
---- (7.39726,419.863) 0 2 3 (6.94118,77.2941) (241.376,390.321) (203.317,155.545) 82.8803 46.2572 230.863
---- (203.317,155.545) 0 1 3 (202.5,339.583) (202.5,339.583) (202.5,339.583) 0 0 360
---- (202.5,339.583) 0 1 3 (242.679,106.92) (241.376,390.321) (6.94118,77.2941) 132.742 179.248 48.01
---- (242.679,106.92) 0 1 2 (241.376,390.321) (203.317,155.545) (6.94118,77.2941) 38.7268 58.1728 263.1
---- (241.376,390.321) 0 1 2 (7.39726,419.863) (242.679,106.92) (242.679,106.92) 97.4593 0 262.541
800 (6.94118,77.2941) 0 2 3 (203.317,155.545) (7.39726,419.863) (7.39726,419.863) 68.1978 0 291.802
---- (7.39726,419.863) 0 2 3 (6.94118,77.2941) (241.759,389.769) (203.317,155.545) 82.759 46.1359 231.105
---- (203.317,155.545) 0 1 3 (202.466,339.589) (202.466,339.589) (202.466,339.589) 1.20742e-06 1.20742e-06 360
---- (202.466,339.589) 0 1 3 (242.895,107.149) (241.759,389.769) (6.94118,77.2941) 132.07 178.639 49.2908
---- (242.895,107.149) 0 1 2 (241.759,389.769) (203.317,155.545) (6.94118,77.2941) 39.0462 57.9349 263.019
---- (241.759,389.769) 0 1 2 (7.39726,419.863) (242.895,107.149) (242.895,107.149) 97.5475 1.20742e-06 262.452
900 (6.94118,77.2941) 0 2 3 (203.382,155.686) (7.39726,419.863) (7.39726,419.863) 68.1687 0 291.831
---- (7.39726,419.863) 0 2 3 (6.94118,77.2941) (242.193,388.991) (203.382,155.686) 82.5858 45.9389 231.475
---- (203.382,155.686) 0 1 3 (202.466,339.589) (202.466,339.589) (202.466,339.589) nan nan nan
---- (202.466,339.589) 0 1 3 (243.333,107.35) (242.193,388.991) (6.94118,77.2941) 131.215 177.897 50.8877
---- (243.333,107.35) 0 1 2 (242.193,388.991) (203.382,155.686) (6.94118,77.2941) 39.3427 57.6713 262.986
---- (242.193,388.991) 0 1 2 (7.39726,419.863) (243.333,107.35) (243.333,107.35) 97.7225 0 262.278
1000 (6.94118,77.2941) 0 2 3 (203.382,155.686) (7.39726,419.863) (7.39726,419.863) 68.1687 0 291.831
---- (7.39726,419.863) 0 2 3 (6.94118,77.2941) (242.65,388.889) (203.382,155.686) 82.5757 45.9287 231.496
---- (203.382,155.686) 0 1 3 (202.568,339.459) (202.568,339.459) (202.568,339.459) 0 0 360
---- (202.568,339.459) 0 1 3 (242.675,111.053) (242.65,388.889) (6.94118,77.2941) 131.002 177.692 51.3061
---- (242.675,111.053) 0 1 2 (242.65,388.889) (203.382,155.686) (6.94118,77.2941) 41.3536 56.7907 261.856
---- (242.65,388.889) 0 1 2 (7.39726,419.863) (242.675,111.053) (242.675,111.053) 97.5059 0 262.494
1100 (7.3494,77.7108) 0 2 3 (203.382,155.686) (7.39726,419.863) (7.39726,419.863) 68.301 nan nan
---- (7.39726,419.863) 0 2 3 (7.3494,77.7108) (242.522,388.783) (203.382,155.686) 82.4779 45.8992 231.623
---- (203.382,155.686) 0 1 3 (203.158,339.605) (203.158,339.605) (203.158,339.605) 0 0 360
---- (203.158,339.605) 0 1 3 (242.768,110.938) (242.522,388.783) (7.3494,77.7108) 131.497 178.109 50.394
---- (242.768,110.938) 0 1 2 (242.522,388.783) (203.382,155.686) (7.3494,77.7108) 41.3018 56.6811 262.017
---- (242.522,388.783) 0 1 2 (7.39726,419.863) (242.768,110.938) (242.768,110.938) 97.5809 nan nan
1200 (7.3494,77.7108) 0 2 3 (203.382,155.686) (7.39726,419.863) (7.39726,419.863) 68.301 nan nan
---- (7.39726,419.863) 0 2 3 (7.3494,77.7108) (242.522,388.783) (203.382,155.686) 82.4779 45.8992 231.623
---- (203.382,155.686) 0 1 3 (203.158,339.605) (203.158,339.605) (203.158,339.605) 0 0 360
---- (203.158,339.605) 0 1 3 (242.864,110.818) (242.522,388.783) (7.3494,77.7108) 131.479 178.109 50.4123
---- (242.864,110.818) 0 1 2 (242.522,388.783) (203.382,155.686) (7.3494,77.7108) 41.2754 56.656 262.069
---- (242.522,388.783) 0 1 2 (7.39726,419.863) (242.864,110.818) (242.864,110.818) 97.6006 1.20742e-06 262.399
1300 (7.3494,77.7108) 0 2 3 (203.382,155.686) (7.39726,419.863) (7.39726,419.863) 68.301 nan nan
---- (7.39726,419.863) 0 2 3 (7.3494,77.7108) (242.655,388.938) (203.382,155.686) 82.5193 45.9407 231.54
---- (203.382,155.686) 0 1 3 (203.082,340.205) (203.082,340.205) (203.082,340.205) 0 0 360
