# Step gr0 gr1 gr2 gr3 
500 46175 111325 48175 30075
600 46225 111400 48175 30075
700 46125 111425 48275 30075
800 45925 111500 48275 30075
900 45875 111525 48450 30075
1000 45900 111525 48450 30075
1100 45775 111575 48500 30075
1200 45775 111650 48500 30075
1300 45625 111650 48500 30075
1400 45525 111700 48500 30025
1500 45325 111725 48500 30025
1600 45300 111750 48550 30025
1700 45150 111750 48600 29975
1800 44950 111775 48650 29975
1900 44675 111450 48400 29975
2000 44450 111500 48350 29675
2100 44400 111575 48400 29625
2200 44350 111600 48425 29625
2300 44300 111650 48500 29575
2400 44225 111675 48500 29575
2500 44075 111700 48600 29525
2600 44050 111725 48725 29475
2700 44025 111425 48475 29475
2800 43950 111450 48475 29475
2900 43900 111500 48475 29475
3000 43775 111575 48475 29475
3100 43675 111575 48425 29475
3200 43550 111575 48375 29475
3300 43325 111275 48175 29350
3400 43200 108800 47725 27150
3500 43025 108675 47475 26950
3600 42825 108700 47575 26875
3700 42800 108750 47675 26825
3800 42700 108775 47725 26775
3900 42700 108800 47800 26750
4000 42600 108800 47875 26750
4100 42575 108875 47975 26750
4200 42500 108900 48100 26675
4300 42475 108975 48100 26675
4400 42350 109000 48050 26675
4500 42300 109025 48050 26675
4600 42150 109125 48000 26675
4700 42125 109150 47950 26675
4800 42050 108925 47800 26675
4900 42000 109000 47850 26675
5000 41900 109100 47900 26650
5100 41800 109150 47900 26575
5200 41675 109175 47900 26525
5300 41400 109175 48000 26525
5400 41350 109225 48100 26525
5500 41325 109200 48150 26500
5600 41300 109200 48150 26500
5700 41275 109250 48200 26500
5800 41175 109300 48300 26475
5900 41150 109400 48450 26475
6000 41150 109400 48475 26475
6100 41000 109400 48525 26475
6200 40950 109425 48525 26475
6300 40900 109425 48525 26475
6400 40875 109450 48525 26475
6500 40850 109475 48525 26475
6600 40775 109550 48575 26425
6700 40725 109600 48575 26425
6800 40650 109625 48575 26425
6900 40550 109675 48575 26425
7000 40375 109700 48575 26425
7100 40125 109700 48525 26425
7200 39950 109725 48525 26425
7300 39950 109750 48625 26425
7400 39875 109800 48725 26425
7500 39825 109800 48775 26425
7600 39825 109825 48825 26425
7700 39775 109850 48900 26425
7800 39750 109925 49025 26425
7900 39725 110000 49150 26425
8000 39675 110050 49150 26425
8100 39625 110125 49100 26425
8200 39600 110175 49100 26425
8300 39525 110225 49100 26425
8400 39475 110275 49100 26425
8500 39425 110275 49100 26425
8600 39350 110275 49100 26425
8700 39225 110325 49100 26425
8800 39125 110350 49150 26425
8900 39000 110375 49150 26425
9000 38950 110425 49150 26425
9100 38850 110425 49150 26425
9200 38600 110475 49150 26375
9300 38525 110500 49150 26375
9400 38500 110550 49150 26375
9500 38500 110625 49175 26375
9600 38475 110650 49300 26325
9700 38475 110700 49300 26325
9800 38425 110725 49275 26300
9900 38350 110750 49400 26250
10000 38325 110825 49550 26200
10100 38300 110625 49425 26175
10200 38225 110650 49375 26100
10300 38225 110675 49375 26100
10400 38175 110700 49375 26025
10500 38100 110725 49375 26025
10600 38025 110750 49375 26025
10700 38025 110775 49375 26025
10800 38000 110800 49375 26025
10900 37950 110800 49375 26025
11000 37850 110825 49375 26025
11100 37825 110825 49375 26025
11200 37725 110875 49375 26025
11300 37650 110925 49375 26025
11400 37600 110950 49375 26025
11500 37475 110975 49325 26025
11600 37225 110975 49325 26025
11700 37200 111000 49375 26025
11800 37050 111025 49375 26025
11900 37050 111050 49375 26025
12000 37025 111100 49375 26025
12100 37000 111100 49475 26025
12200 37000 111100 49550 26025
12300 37000 111150 49650 26025
12400 36975 111200 49725 26025
12500 36950 111275 49900 26025
12600 36925 111325 49900 26025
12700 36900 111375 49900 26025
12800 36850 111400 49900 26025
12900 36850 111400 49850 25975
13000 36800 111425 49850 25975
13100 36750 111400 49850 25975
13200 36700 111400 49850 25975
13300 36675 111475 49850 25975
13400 36625 111450 49850 25975
13500 36625 111500 49900 25975
13600 36525 111500 49900 25925
13700 36500 111525 49900 25925
13800 36500 111525 49900 25925
13900 36425 111550 49900 25925
14000 36400 111550 49900 25925
14100 36300 111575 49900 25925
14200 36200 111600 49900 25925
14300 35950 111625 49900 25925
14400 35900 111625 49900 25925
14500 35900 111700 49925 25925
14600 35825 111725 49925 25925
14700 35800 111775 49925 25925
14800 35750 111800 49925 25925
14900 35725 111800 49925 25925
15000 35725 111825 49925 25925
15100 35725 111850 50025 25925
15200 35700 111850 50100 25925
15300 35700 111850 50250 25925
15400 35650 111900 50350 25925
15500 35575 111925 50425 25925
15600 35550 112025 50425 25925
15700 35525 112025 50425 25925
15800 35500 112050 50425 25925
15900 35475 112100 50425 25925
16000 35425 112100 50425 25925
16100 35400 112125 50425 25925
16200 35375 112175 50425 25925
16300 35350 112175 50425 25925
16400 35325 112200 50425 25925
16500 35300 112200 50375 25925
16600 35300 112200 50375 25925
16700 35200 112150 50375 25925
16800 35175 112025 50225 25925
16900 35150 112050 50225 25925
17000 35125 112075 50225 25925
17100 35050 112125 50225 25925
17200 35000 112150 50225 25925
17300 34950 112150 50225 25925
17400 34900 112200 50225 25925
17500 34825 112200 50225 25925
17600 34575 112250 50225 25925
17700 34575 112275 50175 25925
17800 34550 112250 50175 25925
17900 34550 112250 50175 25925
18000 34500 112325 50175 25925
18100 34500 112325 50175 25925
18200 34475 112350 50175 25875
18300 34375 112350 50175 25875
18400 34325 112400 50175 25875
18500 34325 112425 50175 25875
18600 34300 112450 50175 25875
18700 34275 112450 50275 25875
