# Step junction_position active_etas junction_neighbors junction_angles
500 (6.875,77.5) 0 2 3 (60.8721,111.163) (7.30263,419.737) (7.30263,419.737) 57.9882 0 302.012
---- (7.30263,419.737) 0 2 3 (6.875,77.5) (237.294,417.941) (60.8721,111.163) 89.6243 79.7041 190.672
---- (60.8721,111.163) 0 1 3 (237.327,78.1683) (61.3699,386.986) (61.3699,386.986) 100.488 1.20742e-06 259.512
---- (61.3699,386.986) 0 1 3 (7.30263,419.737) (237.294,417.941) (6.875,77.5) 138.816 109.966 111.218
---- (237.327,78.1683) 0 1 2 (237.294,417.941) (60.8721,111.163) (6.875,77.5) 79.4033 10.7573 269.839
---- (237.294,417.941) 0 1 2 (61.3699,386.986) (237.327,78.1683) (237.327,78.1683) 80.0261 0 279.974
600 (6.85393,77.5843) 0 2 3 (60.8721,111.163) (7.27273,419.675) (7.27273,419.675) 58.0641 0 301.936
---- (7.27273,419.675) 0 2 3 (6.85393,77.5843) (235.294,421.849) (60.8721,111.163) 90.6162 80.6902 188.694
---- (60.8721,111.163) 0 1 3 (235.294,78.1513) (61.8667,386.667) (61.8667,386.667) 100.51 nan nan
---- (61.8667,386.667) 0 1 3 (7.27273,419.675) (235.294,421.849) (6.85393,77.5843) 137.374 111.56 111.066
---- (235.294,78.1513) 0 1 2 (235.294,421.849) (60.8721,111.163) (6.85393,77.5843) 79.2828 10.8594 269.858
---- (235.294,421.849) 0 1 2 (61.8667,386.667) (235.294,78.1513) (235.294,78.1513) 78.5324 0 281.468
700 (7.24138,77.8736) 0 2 3 (60.9195,111.264) (7.73333,419.267) (7.73333,419.267) 58.0335 nan nan
---- (7.73333,419.267) 0 2 3 (7.24138,77.8736) (234.369,422.658) (60.9195,111.264) 90.9398 81.0599 188
---- (60.9195,111.264) 0 1 3 (234.369,77.3423) (61.8421,386.645) (61.8421,386.645) 100.874 nan nan
---- (61.8421,386.645) 0 1 3 (7.73333,419.267) (234.369,422.658) (7.24138,77.8736) 137.124 111.819 111.058
---- (234.369,77.3423) 0 1 2 (234.369,422.658) (60.9195,111.264) (7.24138,77.8736) 78.9342 10.9318 270.134
---- (234.369,422.658) 0 1 2 (61.8421,386.645) (234.369,77.3423) (234.369,77.3423) 78.2095 0 281.79
800 (7.24138,77.8736) 0 2 3 (60.9195,111.264) (7.73333,419.267) (7.73333,419.267) 58.0335 nan nan
---- (7.73333,419.267) 0 2 3 (7.24138,77.8736) (234.292,422.788) (60.9195,111.264) 90.9729 81.0931 187.934
---- (60.9195,111.264) 0 1 3 (234.344,75.2049) (61.8421,386.645) (61.8421,386.645) 101.554 nan nan
---- (61.8421,386.645) 0 1 3 (7.73333,419.267) (234.292,422.788) (7.24138,77.8736) 137.077 111.865 111.058
---- (234.344,75.2049) 0 1 2 (234.292,422.788) (60.9195,111.264) (7.24138,77.8736) 78.2455 11.0727 270.682
---- (234.292,422.788) 0 1 2 (61.8421,386.645) (234.344,75.2049) (234.344,75.2049) 78.1716 8.53774e-07 281.828
900 (7.24138,77.8736) 0 2 3 (60.9302,111.221) (7.73333,419.267) (7.73333,419.267) 58.0721 nan nan
---- (7.73333,419.267) 0 2 3 (7.24138,77.8736) (234.64,423.198) (60.9302,111.221) 91.0752 81.1948 187.73
---- (60.9302,111.221) 0 1 3 (234.667,74.7917) (61.8421,386.645) (61.8421,386.645) 101.653 0 258.347
---- (61.8421,386.645) 0 1 3 (7.73333,419.267) (234.64,423.198) (7.24138,77.8736) 136.97 111.972 111.058
---- (234.667,74.7917) 0 1 2 (234.64,423.198) (60.9302,111.221) (7.24138,77.8736) 78.1533 11.0659 270.781
---- (234.64,423.198) 0 1 2 (61.8421,386.645) (234.667,74.7917) (234.667,74.7917) 78.0602 0 281.94
1000 (7.24138,77.8736) 0 2 3 (60.9302,111.221) (7.73333,419.267) (7.73333,419.267) 58.0721 nan nan
---- (7.73333,419.267) 0 2 3 (7.24138,77.8736) (233.942,423.894) (60.9302,111.221) 91.2545 81.3741 187.371
---- (60.9302,111.221) 0 1 3 (234.027,74.0265) (61.9231,386.41) (61.9231,386.41) 101.92 0 258.08
---- (61.9231,386.41) 0 1 3 (7.73333,419.267) (233.942,423.894) (7.24138,77.8736) 136.478 112.343 111.179
---- (234.027,74.0265) 0 1 2 (233.942,423.894) (60.9302,111.221) (7.24138,77.8736) 77.8591 11.1553 270.986
---- (233.942,423.894) 0 1 2 (61.9231,386.41) (234.027,74.0265) (234.027,74.0265) 77.7209 0 282.279
1100 (7.24138,77.8736) 0 2 3 (60.9302,111.221) (7.73333,419.267) (7.73333,419.267) 58.0721 nan nan
---- (7.73333,419.267) 0 2 3 (7.24138,77.8736) (233.81,423.857) (60.9302,111.221) 91.2458 81.3654 187.389
---- (60.9302,111.221) 0 1 3 (233.904,74.0789) (61.7532,386.364) (61.7532,386.364) 101.948 0 258.052
---- (61.7532,386.364) 0 1 3 (7.73333,419.267) (233.81,423.857) (7.24138,77.8736) 136.361 112.314 111.324
---- (233.904,74.0789) 0 1 2 (233.81,423.857) (60.9302,111.221) (7.24138,77.8736) 77.8657 11.1598 270.975
---- (233.81,423.857) 0 1 2 (61.7532,386.364) (233.904,74.0789) (233.904,74.0789) 77.722 0 282.278
1200 (7.24138,77.8736) 0 2 3 (60.6818,111.875) (7.73333,419.267) (7.73333,419.267) 57.4509 nan nan
---- (7.73333,419.267) 0 2 3 (7.24138,77.8736) (233.619,423.857) (60.6818,111.875) 91.2468 81.3909 187.362
---- (60.6818,111.875) 0 1 3 (233.728,74.0789) (61.7532,386.364) (61.7532,386.364) 102.097 nan nan
---- (61.7532,386.364) 0 1 3 (7.73333,419.267) (233.619,423.857) (7.24138,77.8736) 136.348 112.328 111.324
---- (233.728,74.0789) 0 1 2 (233.619,423.857) (60.6818,111.875) (7.24138,77.8736) 77.6613 11.361 270.978
---- (233.619,423.857) 0 1 2 (61.7532,386.364) (233.728,74.0789) (233.728,74.0789) 77.7113 0 282.289
1300 (7.64706,78.2941) 0 2 3 (60.7778,112.278) (7.73333,419.267) (7.73333,419.267) 57.3816 0 302.618
---- (7.73333,419.267) 0 2 3 (7.64706,78.2941) (233.619,423.857) (60.7778,112.278) 91.1787 81.3609 187.46
---- (60.7778,112.278) 0 1 3 (233.728,74.0789) (61.7532,386.364) (61.7532,386.364) 102.251 nan nan
---- (61.7532,386.364) 0 1 3 (7.73333,419.267) (233.619,423.857) (7.64706,78.2941) 136.348 112.268 111.384
---- (233.728,74.0789) 0 1 2 (233.619,423.857) (60.7778,112.278) (7.64706,78.2941) 77.5274 11.3866 271.086
---- (233.619,423.857) 0 1 2 (61.7532,386.364) (233.728,74.0789) (233.728,74.0789) 77.7113 0 282.289
1400 (7.64706,78.2941) 0 2 3 (60.7778,112.278) (7.73333,419.267) (7.73333,419.267) 57.3816 0 302.618
---- (7.73333,419.267) 0 2 3 (7.64706,78.2941) (233.45,424.45) (60.7778,112.278) 91.33 81.5122 187.158
---- (60.7778,112.278) 0 1 3 (233.578,73.4404) (61.7532,386.364) (61.7532,386.364) 102.463 nan nan
---- (61.7532,386.364) 0 1 3 (7.73333,419.267) (233.45,424.45) (7.64706,78.2941) 136.148 112.468 111.384
---- (233.578,73.4404) 0 1 2 (233.45,424.45) (60.7778,112.278) (7.64706,78.2941) 77.3122 11.4362 271.252
---- (233.45,424.45) 0 1 2 (61.7532,386.364) (233.578,73.4404) (233.578,73.4404) 77.5139 0 282.486
1500 (7.64706,78.2941) 0 2 3 (60.8242,112.473) (7.73333,419.267) (7.73333,419.267) 57.2555 0 302.744
---- (7.73333,419.267) 0 2 3 (7.64706,78.2941) (232.526,424.588) (60.8242,112.473) 91.3705 81.5381 187.091
---- (60.8242,112.473) 0 1 3 (232.736,73.2547) (61.7532,386.364) (61.7532,386.364) 102.656 1.20742e-06 257.344
---- (61.7532,386.364) 0 1 3 (7.73333,419.267) (232.526,424.588) (7.64706,78.2941) 136.038 112.578 111.384
---- (232.736,73.2547) 0 1 2 (232.526,424.588) (60.8242,112.473) (7.64706,78.2941) 77.1149 11.5683 271.317
---- (232.526,424.588) 0 1 2 (61.7532,386.364) (232.736,73.2547) (232.736,73.2547) 77.4177 0 282.582
1600 (7.64706,78.2941) 0 2 3 (60.8242,112.473) (7.73333,419.267) (7.73333,419.267) 57.2555 0 302.744
---- (7.73333,419.267) 0 2 3 (7.64706,78.2941) (232.5,424.592) (60.8242,112.473) 91.3717 81.5394 187.089
---- (60.8242,112.473) 0 1 3 (232.71,73.271) (61.7532,386.364) (61.7532,386.364) 102.653 1.20742e-06 257.347
---- (61.7532,386.364) 0 1 3 (7.73333,419.267) (232.5,424.592) (7.64706,78.2941) 136.035 112.581 111.384
---- (232.71,73.271) 0 1 2 (232.5,424.592) (60.8242,112.473) (7.64706,78.2941) 77.1182 11.569 271.313
---- (232.5,424.592) 0 1 2 (61.7532,386.364) (232.71,73.271) (232.71,73.271) 77.4146 8.53774e-07 282.585
1700 (7.64706,78.2941) 0 2 3 (60.8242,112.473) (7.73333,419.267) (7.73333,419.267) 57.2555 0 302.744
---- (7.73333,419.267) 0 2 3 (7.64706,78.2941) (232.079,422.247) (60.8242,112.473) 90.7757 80.9433 188.281
---- (60.8242,112.473) 0 1 3 (232.57,73.5047) (61.7532,386.364) (61.7532,386.364) 102.589 1.20742e-06 257.411
---- (61.7532,386.364) 0 1 3 (7.73333,419.267) (232.079,422.247) (7.64706,78.2941) 136.758 111.858 111.384
---- (232.57,73.5047) 0 1 2 (232.079,422.247) (60.8242,112.473) (7.64706,78.2941) 77.1357 11.5637 271.301
---- (232.079,422.247) 0 1 2 (61.7532,386.364) (232.57,73.5047) (232.57,73.5047) 78.1838 0 281.816
1800 (7.64706,78.2941) 0 2 3 (60.8242,112.473) (7.73333,419.267) (7.73333,419.267) 57.2555 0 302.744
---- (7.73333,419.267) 0 2 3 (7.64706,78.2941) (232.356,422.644) (60.8242,112.473) 90.8758 81.0435 188.081
