# gr0gr1_gb gr0gr2_gb gr0gr3_gb gr1gr2_gb gr1gr3_gb gr2gr3_gb total
80 80 80 80 80 80 480
80 80 80 80 80 80 480
80 80 80 80 80 80 480
80 80 80 80 80 80 480
80 80 80 80 80 80 480
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
60 60 60 60 60 60 360
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 50 50 50 50 60 300
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
40 60 60 60 60 80 360
