# gr0gr1_gb gr0gr2_gb gr0gr3_gb gr1gr2_gb gr1gr3_gb gr2gr3_gb total
70 60 70 60 70 60 390
70 75 65 80 70 75 435
45 55 60 40 45 55 300
55 60 55 60 55 60 345
60 55 55 60 60 55 345
65 55 60 60 65 55 360
65 55 60 60 65 55 360
70 70 80 60 70 70 420
70 70 60 80 70 70 420
70 75 65 80 70 75 435
70 75 65 80 70 75 435
55 65 60 60 55 65 360
50 60 70 45 55 65 345
50 60 70 40 50 60 330
55 60 55 60 55 60 345
50 55 45 60 50 55 315
50 55 45 60 50 55 315
60 55 55 60 60 55 345
65 60 65 60 65 60 375
65 55 60 60 65 55 360
55 45 60 40 55 45 300
55 45 60 40 55 45 300
60 50 70 40 60 50 330
70 60 70 50 60 50 360
70 60 70 50 60 50 360
70 60 70 50 60 50 360
70 60 70 50 60 50 360
70 60 70 50 60 50 360
75 65 70 55 60 50 375
80 70 70 75 75 65 435
75 65 60 75 70 60 405
75 65 60 80 75 65 420
70 65 55 80 70 65 405
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
70 60 50 80 70 60 390
