# Step gr0 gr1 gr2 gr3 
500 55800 55000 53350 52625
600 55800 55025 53325 52575
700 55825 55075 53350 52600
800 55800 55050 53300 52550
900 55850 55000 53250 52550
1000 55800 54975 53225 52575
1100 55850 55075 53350 52575
1200 55900 55050 53275 52525
1300 56000 55125 53325 52550
1400 56025 55200 53350 52600
1500 55900 55175 53275 52600
1600 55900 55125 53325 52625
1700 55900 55200 53400 52650
1800 55900 55150 53350 52625
1900 55800 55150 53350 52550
2000 55800 55200 53325 52550
2100 55850 55175 53325 52550
2200 55850 55175 53325 52500
2300 55850 55175 53325 52500
2400 55850 55200 53375 52500
2500 55875 55100 53300 52500
2600 55900 55125 53225 52500
2700 55925 55125 53200 52500
2800 55900 55125 53200 52475
2900 55925 55100 53200 52475
3000 55925 55125 53250 52475
3100 55925 55150 53250 52525
3200 55950 55175 53250 52525
3300 55925 55175 53250 52550
3400 55925 55100 53250 52575
3500 55925 55075 53200 52550
3600 55925 55100 53175 52550
3700 55950 55100 53175 52550
3800 55950 55150 53200 52550
3900 55975 55175 53200 52550
4000 56000 55175 53175 52550
4100 56000 55175 53175 52550
4200 56000 55175 53175 52550
4300 56000 55175 53200 52550
4400 56000 55150 53200 52550
4500 56000 55150 53200 52550
4600 56000 55150 53200 52575
4700 55950 55125 53200 52575
4800 55950 55150 53200 52575
4900 55975 55150 53200 52575
5000 55950 55150 53175 52575
5100 55975 55175 53175 52550
5200 55975 55200 53175 52500
5300 55975 55200 53175 52475
5400 56000 55200 53175 52475
5500 56000 55225 53175 52500
5600 56000 55225 53175 52500
5700 56025 55225 53175 52500
5800 56025 55225 53175 52475
5900 56025 55225 53175 52475
6000 56025 55225 53175 52475
6100 56000 55225 53175 52475
6200 56000 55225 53175 52475
6300 56000 55225 53175 52475
6400 56000 55225 53175 52475
6500 56000 55225 53175 52450
6600 56000 55225 53175 52450
6700 56000 55225 53175 52450
6800 56000 55225 53175 52450
6900 56000 55225 53175 52450
7000 56025 55225 53175 52450
7100 56025 55225 53175 52450
7200 56025 55225 53175 52450
7300 56025 55225 53175 52450
7400 56025 55225 53175 52450
7500 56025 55225 53175 52450
7600 56025 55225 53150 52450
7700 56025 55225 53150 52450
7800 56025 55225 53150 52450
7900 56025 55225 53150 52450
8000 56025 55225 53150 52450
8100 56025 55225 53150 52450
8200 56075 55225 53150 52450
8300 56075 55225 53150 52450
8400 56075 55225 53150 52425
8500 56075 55225 53150 52425
8600 56075 55225 53150 52425
8700 56075 55225 53150 52425
8800 56075 55225 53150 52425
8900 56075 55225 53150 52425
9000 56075 55225 53150 52400
9100 56050 55225 53150 52400
9200 56050 55225 53150 52400
9300 56050 55250 53150 52400
9400 56050 55250 53150 52400
9500 56050 55250 53150 52400
9600 56050 55250 53150 52400
9700 56050 55250 53150 52400
9800 56050 55250 53150 52400
9900 56050 55250 53125 52400
10000 56050 55250 53100 52400
