# Step gr0 gr1 gr2 gr3 
500 59525 17300 57975 82600
600 59550 17425 57900 82700
700 59475 17650 57775 82725
800 59600 17450 57750 82700
900 59575 17400 57750 82700
1000 59600 17350 57725 82775
1100 59625 17400 57825 82900
1200 59625 17300 57850 83000
1300 59550 17275 57825 83050
1400 59675 17225 57850 82975
1500 59600 17300 57800 82775
1600 59575 17225 57675 82475
1700 59575 17250 57700 82475
1800 59550 17275 57750 82500
1900 59550 17350 57725 82475
2000 59575 17450 57750 82550
2100 59650 17525 57725 82675
2200 59650 17525 57700 82800
2300 59625 17750 57750 82850
2400 59650 17850 57700 82975
2500 59675 17725 57725 82950
2600 59700 17725 57650 83000
2700 59675 17725 57525 83000
2800 59675 17675 57500 83025
2900 59650 17650 57550 83000
3000 59575 17525 57600 83025
3100 59600 17525 57575 83050
3200 59625 17525 57575 83075
3300 59625 17475 57625 83175
3400 59675 17400 57650 83175
3500 59725 17375 57700 83250
3600 59725 17325 57700 83275
3700 59750 17325 57675 83300
3800 59775 17325 57675 83350
3900 59800 17325 57650 83400
4000 59750 17300 57650 83300
4100 59750 17300 57675 83200
4200 59700 17275 57625 82950
4300 59700 17275 57600 82800
4400 59700 17250 57500 82425
4500 59700 17225 57475 82250
4600 59700 17225 57475 82225
4700 59650 17225 57500 82225
4800 59550 17175 57450 82225
4900 59575 17150 57375 82275
5000 59625 17100 57350 82275
5100 59625 17075 57375 82350
5200 59700 17025 57375 82350
5300 59700 16975 57425 82350
5400 59775 16975 57425 82400
5500 59800 16975 57425 82400
5600 59825 16925 57425 82400
5700 59825 16925 57450 82475
5800 59850 16900 57425 82475
5900 59875 16900 57400 82475
6000 59875 16900 57400 82500
6100 59900 16900 57375 82600
6200 59900 16900 57400 82650
6300 59900 16875 57375 82725
6400 59900 16875 57375 82775
6500 59900 16875 57450 82875
6600 59925 16875 57475 82900
6700 59925 16875 57450 82925
6800 59925 16825 57450 82975
6900 59925 16800 57425 82975
7000 59900 16750 57425 82975
7100 59875 16700 57475 82950
7200 59900 16675 57475 82925
7300 59900 16650 57450 82900
7400 59900 16650 57450 82925
7500 59900 16650 57425 82925
7600 59900 16600 57425 82925
7700 59925 16600 57450 82950
7800 59875 16600 57475 82950
7900 59875 16600 57475 82950
8000 59875 16575 57450 82950
8100 59875 16575 57450 82950
8200 59875 16575 57475 82950
8300 59825 16575 57450 82975
8400 59825 16550 57450 82950
8500 59825 16550 57450 82975
8600 59825 16550 57450 83000
8700 59825 16550 57450 83000
8800 59800 16475 57450 83050
8900 59800 16475 57450 83075
9000 59800 16475 57400 83075
9100 59800 16475 57400 83075
9200 59800 16450 57400 83100
9300 59825 16450 57400 83100
9400 59850 16450 57375 83125
9500 59825 16425 57350 83150
9600 59825 16400 57350 83125
9700 59825 16400 57350 83125
9800 59800 16400 57350 83100
9900 59825 16400 57350 83100
10000 59825 16400 57350 83100
