# Step gr0 gr1 gr2 gr3 
500 45875 103675 43925 23325
600 45850 103600 43775 23350
700 45850 103750 43875 23400
800 45875 103675 43925 23450
900 45850 103775 43950 23450
1000 45875 103900 43925 23450
1100 45850 103950 43925 23550
1200 45750 104000 43875 23550
1300 45825 104050 43775 23550
1400 45925 104150 43925 23575
1500 45875 104100 43925 23600
1600 45975 104200 43925 23575
1700 46050 104275 43875 23650
1800 46050 104325 43875 23700
1900 45850 104475 43975 23750
2000 45875 104350 43900 23800
2100 45875 104375 43825 24075
2200 45975 104475 43775 24050
2300 45975 104500 43850 23975
2400 45975 104525 43775 23825
2500 45975 104600 43825 23775
2600 46025 104550 43825 23725
2700 46075 104650 43925 23675
2800 46025 104625 43775 23675
2900 45975 104625 43775 23525
3000 45950 104650 43750 23450
3100 46025 104700 43875 23425
3200 46100 104650 43825 23350
3300 46075 104775 43825 23275
3400 46075 104725 43825 23275
3500 46000 104675 43800 23250
3600 46000 104625 43825 23250
3700 46025 104550 43825 23225
3800 46025 104600 43800 23275
3900 46050 104525 43875 23275
4000 46075 104400 43875 23300
4100 46125 104325 43925 23275
4200 46025 104200 43900 23300
4300 46025 104025 43825 23325
4400 45950 104000 43875 23225
4500 45950 103975 43825 23250
4600 45975 103950 43675 23275
4700 46000 104025 43650 23350
4800 46050 104000 43675 23400
4900 46100 104025 43700 23425
5000 46125 104075 43750 23325
5100 46100 104150 43750 23325
5200 46125 104275 43725 23350
5300 46125 104475 43725 23400
5400 46175 104450 43750 23375
5500 46175 104475 43800 23275
5600 46200 104450 43775 23325
5700 46100 104475 43725 23300
5800 46025 104475 43725 23375
5900 46025 104475 43700 23375
6000 46075 104575 43625 23425
6100 46100 104550 43600 23475
6200 46125 104575 43625 23475
6300 46125 104550 43625 23475
6400 46125 104500 43650 23450
6500 46150 104525 43675 23475
6600 46175 104550 43700 23500
6700 46125 104700 43725 23525
6800 46100 104775 43725 23600
6900 46100 104875 43725 23600
7000 46075 105000 43725 23600
7100 46050 105050 43825 23600
7200 46100 105125 43875 23625
7300 46125 105225 43900 23600
7400 46150 105275 43900 23575
7500 46150 105275 43875 23550
7600 46175 105275 43875 23550
7700 46150 105275 43850 23525
7800 46125 105250 43850 23550
7900 46100 105225 43875 23525
8000 46075 105225 43875 23525
8100 46000 105225 43875 23525
8200 45925 105225 43850 23500
8300 45950 105225 43875 23475
8400 45950 105225 43850 23450
8500 45900 105225 43825 23425
8600 45825 105225 43825 23375
8700 45825 105225 43825 23325
8800 45825 105200 43825 23275
8900 45850 105225 43825 23250
9000 45900 105200 43800 23150
9100 45925 105250 43775 23125
9200 45975 105225 43775 23075
9300 45975 105250 43750 23050
9400 46000 105275 43725 23050
9500 46000 105325 43725 23025
9600 46050 105325 43700 22975
9700 46075 105400 43700 22925
9800 46075 105425 43725 22900
9900 46100 105450 43700 22875
10000 46125 105450 43725 22850
